,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10048,10048,76,110,110,76,76,0.0
1,10048,11205,0,110,20,76,19,2.7581138964
2,10048,10007,10,110,2006,76,1158,0.323226459072
3,10048,10005,2,110,67,76,30,0.461300121716
4,10048,10265,0,110,3,76,2,5.0833037048
5,10048,11226,0,110,219,76,133,5.49084649363
6,10048,10019,4,110,363,76,249,3.95636701914
7,10048,11367,0,110,25,76,13,10.0826638731
8,10048,10013,6,110,452,76,252,0.697113342375
9,10048,11233,0,110,52,76,31,5.48581022141
10,10048,10036,9,110,696,76,455,3.47159817619
11,10048,10469,0,110,36,76,11,13.8387430395
12,10048,11368,0,110,48,76,25,8.43171964628
13,10048,11360,0,110,11,76,8,13.066258036
14,10048,11222,0,110,59,76,51,3.63556537953
15,10048,11220,0,110,34,76,15,4.87838566219
16,10048,11207,0,110,39,76,27,6.82031433466
17,10048,11214,0,110,21,76,14,7.84959667914
18,10048,10465,0,110,29,76,16,12.8792045649
19,10048,10012,3,110,242,76,176,1.20471748848
20,10048,10462,0,110,131,76,78,12.0637568561
21,10048,10014,5,110,245,76,192,1.60371658432
22,10048,11106,1,110,29,76,21,5.46382680988
23,10048,11208,0,110,41,76,18,7.82964607463
24,10048,11212,0,110,30,76,19,6.23603383949
25,10048,11216,0,110,57,76,40,4.01111884148
26,10048,10280,1,110,31,76,18,0.4311576887
27,10048,10010,2,110,134,76,107,2.44361977962
28,10048,11374,0,110,25,76,15,7.99644975186
29,10048,11217,0,110,137,76,79,2.74871875301
30,10048,10009,0,110,78,76,57,2.04684296053
31,10048,10011,3,110,239,76,186,2.09539339161
32,10048,10001,8,110,507,76,324,2.79238666105
33,10048,10038,3,110,131,76,63,0.482169030177
34,10048,10023,1,110,184,76,126,4.67914090035
35,10048,10022,2,110,191,76,146,4.00654940988
36,10048,10031,0,110,47,76,36,8.54953592645
37,10048,10456,0,110,17,76,12,9.7692409181
38,10048,10475,0,110,30,76,15,15.0969419018
39,10048,11211,2,110,219,76,163,3.04534837182
40,10048,11691,0,110,11,76,10,15.3644751938
41,10048,10120,0,110,1,76,1,2.91738170601
42,10048,10472,0,110,21,76,14,11.1168389138
43,10048,11430,1,110,98,76,84,12.1452526933
44,10048,10029,0,110,40,76,34,6.50211632183
45,10048,11204,0,110,8,76,7,6.58783900816
46,10048,11201,1,110,212,76,154,1.68168505167
47,10048,10024,2,110,117,76,83,5.44922193408
48,10048,10018,3,110,225,76,174,3.12954023024
49,10048,11377,0,110,58,76,27,6.07877838973
50,10048,10471,0,110,24,76,15,14.2178145392
51,10048,10004,5,110,138,76,72,1.7584178299
52,10048,11697,0,110,5,76,5,11.8069729883
53,10048,11218,0,110,42,76,16,5.03544568771
54,10048,11206,0,110,68,76,48,3.7050972609
55,10048,11102,1,110,79,76,55,6.15206310338
56,10048,10028,0,110,55,76,43,5.40791181541
57,10048,10030,0,110,23,76,14,8.15955611708
58,10048,11232,0,110,107,76,15,3.92856242115
59,10048,10474,0,110,7,76,5,9.56602739064
60,10048,11215,0,110,128,76,83,3.37991690361
61,10048,11221,0,110,96,76,56,4.73487936326
62,10048,11426,0,110,4,76,3,15.3500316871
63,10048,10003,3,110,313,76,239,1.85304181528
64,10048,10021,0,110,53,76,42,4.74416503625
65,10048,11416,0,110,8,76,4,8.73504425297
66,10048,11213,0,110,22,76,15,4.97068837158
67,10048,11373,0,110,53,76,41,7.23844150723
68,10048,10016,1,110,89,76,59,2.97465943513
69,10048,11385,0,110,50,76,39,6.30148213219
70,10048,10308,0,110,5,76,5,13.273150854
71,10048,10301,1,110,57,76,37,7.02079081678
72,10048,11235,0,110,52,76,17,9.43387875419
73,10048,10468,0,110,42,76,24,12.2316734464
74,10048,10002,4,110,178,76,117,1.37010644994
75,10048,11209,0,110,60,76,28,6.1949578564
76,10048,11231,1,110,73,76,45,2.35296227604
77,10048,10032,0,110,65,76,28,9.61818530815
78,10048,11237,0,110,61,76,55,4.88600592111
79,10048,10473,0,110,18,76,14,10.8927330739
80,10048,10033,0,110,50,76,32,10.2660239019
81,10048,11103,0,110,34,76,24,6.3741072849
82,10048,10020,9,110,228,76,182,3.62732596934
83,10048,10080,1,110,1,76,1,5.0833037048
84,10048,11693,0,110,11,76,9,12.8619994319
85,10048,10314,0,110,66,76,40,10.0987533095
