,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10012,10012,308,411,411,308,308,0.0
1,10012,10472,0,411,14,308,12,9.91794157395
2,10012,11220,0,411,52,308,40,5.90349911834
3,10012,10285,0,411,12,308,7,1.19484104205
4,10012,10281,1,411,123,308,83,1.17087633648
5,10012,11371,1,411,55,308,50,7.20808295845
6,10012,10013,9,411,447,308,280,0.515185223657
7,10012,10009,2,411,164,308,129,1.03709579489
8,10012,10007,14,411,1745,308,1055,0.902634840492
9,10012,10022,4,411,229,308,183,2.8022826015
10,10012,10003,11,411,459,308,371,0.653381968999
11,10012,10020,4,411,654,308,494,2.44863615063
12,10012,10026,0,411,69,308,50,5.7785491218
13,10012,10001,7,411,735,308,450,1.71265815031
14,10012,10036,11,411,666,308,510,2.35428748906
15,10012,11217,3,411,370,308,217,3.21301574905
16,10012,10002,10,411,348,308,256,0.856308588948
17,10012,11385,3,411,55,308,43,5.75948278071
18,10012,11211,5,411,431,308,311,2.50383180559
19,10012,10014,18,411,402,308,311,0.706717733491
20,10012,11206,3,411,110,308,83,3.33671686767
21,10012,10019,7,411,532,308,416,2.8234340812
22,10012,11433,2,411,25,308,12,11.2633809632
23,10012,11222,4,411,127,308,96,2.76921041443
24,10012,10018,7,411,288,308,213,2.02765221523
25,10012,11201,7,411,285,308,227,2.17182039568
26,10012,10023,5,411,220,308,160,3.55393100767
27,10012,11213,2,411,42,308,16,5.06198052942
28,10012,11215,4,411,220,308,155,4.08842814459
29,10012,10005,4,411,78,308,51,1.47727873209
30,10012,11373,2,411,47,308,38,6.35314611767
31,10012,10034,1,411,100,308,48,10.6052657469
32,10012,11354,3,411,58,308,37,9.54932882494
33,10012,10017,5,411,200,308,138,2.26596148558
34,10012,10024,1,411,141,308,103,4.31614179898
35,10012,11233,0,411,86,308,43,5.383868488
36,10012,11377,2,411,66,308,44,5.09911598288
37,10012,11238,1,411,155,308,101,3.67727992401
38,10012,10025,3,411,111,308,65,5.25087395144
39,10012,11432,3,411,36,308,29,10.7985208396
40,10012,11235,1,411,33,308,23,10.1301575451
41,10012,10011,14,411,376,308,305,1.04281950404
42,10012,11210,0,411,22,308,16,7.31025104646
43,10012,10030,0,411,33,308,22,6.98149583661
44,10012,10006,1,411,36,308,31,1.47618498726
45,10012,10040,3,411,63,308,29,9.86430074927
46,10012,11237,1,411,59,308,50,4.40242161873
47,10012,10016,8,411,166,308,116,1.76997956799
48,10012,10305,0,411,69,308,30,9.64148956266
49,10012,10468,0,411,32,308,22,11.04127754
50,10012,11229,0,411,32,308,20,9.24429959987
51,10012,11412,0,411,5,308,5,12.6978427063
52,10012,10038,6,411,110,308,56,1.1576344356
53,10012,11231,3,411,87,308,64,3.26160615973
54,10012,10010,6,411,226,308,168,1.24237319602
55,10012,10128,3,411,47,308,38,4.60729835531
56,10012,11225,0,411,31,308,25,4.90896932153
57,10012,11228,0,411,33,308,25,7.51234767835
58,10012,11420,2,411,82,308,39,10.323050651
59,10012,11105,2,411,76,308,44,5.80508826758
60,10012,11106,0,411,49,308,38,4.30168058651
61,10012,11212,0,411,38,308,14,6.27048725889
62,10012,10033,0,411,51,308,34,9.10251830027
63,10012,11205,0,411,30,308,26,2.79464002178
64,10012,11434,1,411,10,308,8,12.3624507504
65,10012,11232,1,411,180,308,33,4.87305405142
66,10012,10037,0,411,14,308,10,6.85804177811
67,10012,11004,0,411,1,308,1,15.2028413585
68,10012,11430,1,411,132,308,110,11.8498084767
69,10012,11422,0,411,14,308,4,14.4994513004
70,10012,10451,2,411,45,308,26,7.60110584127
71,10012,10027,4,411,148,308,98,6.40054670114
72,10012,10475,3,411,18,308,11,13.894064652
73,10012,11203,0,411,20,308,14,6.31832623051
74,10012,10048,5,411,97,308,80,1.20471748848
75,10012,11367,2,411,26,308,13,9.28747954242
76,10012,10021,1,411,65,308,53,3.54087603375
77,10012,10028,2,411,70,308,63,4.20535144587
78,10012,10456,0,411,15,308,12,8.56718049213
79,10012,10309,0,411,16,308,11,17.6266933328
80,10012,10453,2,411,33,308,24,9.86425560782
81,10012,11101,5,411,123,308,97,3.38620451011
82,10012,11102,4,411,52,308,43,4.97476085396
83,10012,10452,0,411,50,308,26,8.74401232639
84,10012,11362,2,411,16,308,11,14.1072579081
85,10012,11355,0,411,39,308,33,9.5302970677
86,10012,10467,0,411,26,308,22,12.1513802633
87,10012,10302,0,411,4,308,3,9.79759224151
88,10012,10314,4,411,85,308,40,11.2967497313
89,10012,10004,6,411,149,308,87,2.90903289528
90,10012,11224,0,411,28,308,24,10.31269532
91,10012,11411,0,411,5,308,2,13.9688671233
92,10012,11236,0,411,16,308,12,7.71409194645
93,10012,11372,2,411,24,308,21,6.21225187566
94,10012,11208,0,411,31,308,16,7.56379255684
95,10012,10306,1,411,19,308,13,12.4964906565
96,10012,11375,4,411,64,308,41,8.01562385241
97,10012,10153,1,411,9,308,8,2.93431388947
98,10012,10458,0,411,47,308,32,11.1328133554
99,10012,11414,0,411,26,308,15,9.39434135001
100,10012,11366,0,411,8,308,8,10.6732960622
101,10012,11416,0,411,8,308,7,8.31248364524
