,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10013,10013,262,443,443,262,262,0.0
1,10013,10022,4,443,179,262,131,3.3116983385
2,10013,10036,8,443,727,262,513,2.7946642925
3,10013,10009,1,443,144,262,102,1.4661434841
4,10013,10019,7,443,548,262,382,3.27519798411
5,10013,11211,6,443,373,262,248,2.74173286504
6,10013,10018,5,443,206,262,164,2.45668683633
7,10013,11432,0,443,22,262,15,11.1405288984
8,10013,11226,2,443,194,262,118,5.82233792094
9,10013,10027,1,443,82,262,62,6.87423219438
10,10013,11371,0,443,52,262,48,7.69724351765
11,10013,10473,1,443,13,262,8,10.2233445111
12,10013,10475,2,443,19,262,15,14.4079408421
13,10013,10033,1,443,50,262,35,9.57736328506
14,10013,10031,2,443,60,262,32,7.86168094019
15,10013,10010,4,443,145,262,111,1.75745624731
16,10013,10011,10,443,316,262,236,1.42961465112
17,10013,10458,0,443,29,262,24,11.633737053
18,10013,10003,8,443,487,262,297,1.16848188608
19,10013,11201,4,443,232,262,159,1.94670959945
20,10013,11368,4,443,52,262,35,7.92249545981
21,10013,10014,7,443,314,262,241,0.969627273755
22,10013,10020,3,443,231,262,182,2.93260003009
23,10013,11377,3,443,88,262,38,5.54319107865
24,10013,11212,0,443,15,262,10,6.29435102283
25,10013,10012,15,443,334,262,247,0.515185223657
26,10013,11105,1,443,40,262,30,6.3134578403
27,10013,10007,18,443,1764,262,998,0.420592054706
28,10013,10111,0,443,18,262,16,3.02778915469
29,10013,11375,2,443,62,262,41,8.3704953375
30,10013,10004,7,443,142,262,78,2.39706696095
31,10013,10454,2,443,17,262,13,7.51265073778
32,10013,10024,1,443,129,262,87,4.76975766911
33,10013,10048,1,443,57,262,45,0.697113342375
34,10013,10001,12,443,634,262,398,2.12530338779
35,10013,11217,4,443,146,262,113,3.02659388877
36,10013,11237,0,443,78,262,57,4.63684103025
37,10013,10468,0,443,33,262,22,11.5355009558
38,10013,10017,7,443,214,262,114,2.77728705229
39,10013,11232,2,443,157,262,33,4.49821154883
40,10013,10469,0,443,115,262,11,13.1467365935
41,10013,10028,2,443,59,262,45,4.71155036292
42,10013,10281,4,443,62,262,39,0.657243402909
43,10013,10461,0,443,35,262,24,12.1635290262
44,10013,11220,3,443,68,262,27,5.49466643672
45,10013,10030,0,443,22,262,19,7.46614314831
46,10013,10310,0,443,14,262,11,8.41878260082
47,10013,11205,2,443,49,262,37,2.78146183477
48,10013,11430,2,443,140,262,111,12.0261532093
49,10013,11216,3,443,69,262,38,4.08496989131
50,10013,10006,1,443,27,262,19,0.979298283466
51,10013,11413,0,443,11,262,6,13.7803254957
52,10013,10040,0,443,81,262,34,10.3402208905
53,10013,10301,0,443,45,262,26,7.71438253282
54,10013,10021,5,443,47,262,37,4.04824506794
55,10013,10462,4,443,101,262,64,11.3778888537
56,10013,10306,1,443,11,262,11,11.9987169164
57,10013,10128,2,443,33,262,29,5.11275021113
58,10013,11214,2,443,28,262,16,8.40932109183
59,10013,10472,1,443,19,262,14,10.4329599112
60,10013,10029,0,443,48,262,28,5.80504330878
61,10013,10002,9,443,314,262,199,0.990775113595
62,10013,11385,2,443,53,262,36,6.02582384903
63,10013,10453,0,443,54,262,18,10.3565116057
64,10013,11354,0,443,51,262,31,10.0094130507
65,10013,10460,2,443,26,262,15,10.5739435205
66,10013,11233,1,443,58,262,36,5.46132568968
67,10013,10016,5,443,120,262,79,2.28229381104
68,10013,10452,2,443,42,262,24,9.23601714444
69,10013,11219,1,443,8,262,6,6.10534595306
70,10013,11101,4,443,130,262,78,3.86906004557
71,10013,10023,4,443,187,262,146,4.00173011439
72,10013,10034,1,443,71,262,45,11.0843638309
73,10013,10035,2,443,45,262,30,6.77822491763
74,10013,11355,2,443,20,262,12,9.95520947325
75,10013,10314,4,443,129,262,46,10.7818128975
76,10013,10118,1,443,18,262,14,2.18973692529
77,10013,11209,2,443,50,262,31,6.84009405193
78,10013,10037,2,443,21,262,16,7.35355700121
79,10013,10038,2,443,130,262,69,0.762963218606
80,10013,11206,0,443,78,262,62,3.51078207306
81,10013,10025,3,443,102,262,60,5.71366976551
82,10013,11412,0,443,7,262,3,13.006816414
83,10013,11358,0,443,8,262,8,11.3157052318
84,10013,10026,0,443,65,262,50,6.26066901477
85,10013,11697,1,443,3,262,3,12.1776752504
86,10013,10308,0,443,11,262,8,13.9700360502
87,10013,11102,1,443,48,262,42,5.48723387985
88,10013,10282,1,443,6,262,6,0.533518367173
89,10013,11210,1,443,21,262,15,7.12618346254
90,10013,11373,2,443,49,262,34,6.76230991977
91,10013,11215,2,443,143,262,110,3.81057042451
92,10013,11362,2,443,24,262,11,14.5293787455
93,10013,11218,1,443,38,262,19,5.47303077125
94,10013,11372,2,443,47,262,27,6.66532899555
95,10013,11104,0,443,17,262,14,4.77661504836
96,10013,10451,2,443,41,262,26,8.10350479034
97,10013,11238,1,443,97,262,61,3.58382504732
98,10013,11433,0,443,14,262,12,11.5631867112
99,10013,11225,0,443,17,262,15,4.77867315959
100,10013,10005,1,443,73,262,38,1.02559858063
101,10013,11356,0,443,11,262,10,9.58630018752
102,10013,10467,0,443,24,262,14,12.6573694607
103,10013,11229,0,443,18,262,11,9.02886218061
104,10013,11235,3,443,27,262,20,9.87726118782
105,10013,11228,0,443,9,262,9,7.12227693497
106,10013,10304,0,443,25,262,11,8.96436535096
107,10013,11222,2,443,107,262,72,3.15654751399
108,10013,11207,2,443,53,262,29,6.76762343058
109,10013,10152,0,443,1,262,1,3.14018044227
110,10013,11415,0,443,8,262,6,9.26494459458
111,10013,10174,1,443,3,262,3,2.65869655725
112,10013,11361,0,443,22,262,12,12.490641327
113,10013,11231,3,443,88,262,57,2.89237110372
114,10013,10471,2,443,15,262,8,13.5282771005
115,10013,10069,0,443,4,262,4,3.86060663579
116,10013,10032,2,443,45,262,26,8.93073086018
117,10013,10465,2,443,35,262,23,12.2289660319
118,10013,11230,0,443,21,262,12,7.07524070339
119,10013,11234,1,443,72,262,20,8.30408760203
120,10013,11213,0,443,44,262,16,5.05467904447
121,10013,11103,1,443,34,262,28,5.74803954788
122,10013,10305,2,443,32,262,12,9.15943653754
123,10013,11420,0,443,66,262,21,10.5449368037
124,10013,11221,1,443,71,262,49,4.61361041364
125,10013,10463,3,443,45,262,32,12.1990545688
126,10013,11106,1,443,36,262,29,4.8101431214
127,10013,11378,0,443,12,262,10,5.38886146246
128,10013,11239,0,443,5,262,4,8.39684030392
129,10013,10044,0,443,16,262,13,4.10721151888
130,10013,11365,0,443,6,262,6,11.2608878596
131,10013,11692,0,443,4,262,4,14.1056046334
132,10013,11693,0,443,9,262,7,12.9560216702
133,10013,10309,0,443,16,262,14,17.1134919315
134,10013,11434,0,443,33,262,13,12.6152752226
135,10013,11422,0,443,10,262,8,14.7433403165
136,10013,11374,1,443,52,262,17,7.58430042851
137,10013,10280,2,443,15,262,12,1.1238254808
138,10013,11435,2,443,39,262,16,10.3579147059
139,10013,11224,0,443,23,262,18,9.96696213322
140,10013,11414,0,443,18,262,12,9.54101243361
141,10013,10457,0,443,23,262,14,10.3429868405
142,10013,11419,0,443,16,262,8,9.86485843363
143,10013,11427,1,443,8,262,4,13.5247294607
144,10013,11421,0,443,16,262,7,7.98721237684
145,10013,11370,0,443,6,262,5,6.69342591995
146,10013,11363,1,443,3,262,3,14.0479914762
147,10013,11429,0,443,8,262,7,14.0019392648
148,10013,11203,0,443,60,262,16,6.22932811655
149,10013,11367,2,443,21,262,14,9.66488769319
150,10013,11364,2,443,19,262,6,13.0014812972
