,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10462,10462,39,69,69,39,39,0.0
1,10462,10023,1,69,169,39,126,7.95054052961
2,10462,10007,13,69,1750,39,1003,11.7495805344
3,10462,10013,3,69,579,39,417,11.3778888537
4,10462,10025,2,69,80,39,51,6.48255106217
5,10462,10461,0,69,52,39,24,1.0718315466
6,10462,10027,1,69,54,39,42,5.44620939766
7,10462,10001,3,69,538,39,369,9.59713918295
8,10462,11222,0,69,53,39,41,9.20514863096
9,10462,10118,0,69,43,39,39,9.28897562688
10,10462,11375,3,69,45,39,24,8.42020466694
11,10462,11211,0,69,189,39,147,10.2831946291
12,10462,10010,3,69,175,39,136,9.62104898612
13,10462,11215,4,69,100,39,76,13.7715023096
14,10462,10003,3,69,305,39,247,10.2113549837
15,10462,10470,0,69,13,39,7,4.03520645398
16,10462,10005,0,69,60,39,44,12.2534985101
17,10462,10036,3,69,511,39,345,8.95163113246
18,10462,10166,0,69,6,39,4,8.63500862007
19,10462,10017,4,69,211,39,135,8.60946104669
20,10462,10018,3,69,162,39,139,9.27510881943
21,10462,10019,2,69,415,39,296,8.49499252156
22,10462,10012,1,69,263,39,209,10.8631593088
23,10462,10006,0,69,13,39,10,12.3198306143
24,10462,10009,0,69,135,39,47,10.1332916288
25,10462,11207,0,69,54,39,27,11.9669607217
26,10462,10002,0,69,209,39,151,10.9499340634
27,10462,10306,0,69,11,39,10,23.2288007335
28,10462,10028,1,69,54,39,44,6.7396384858
29,10462,11216,0,69,38,39,29,12.1128442729
30,10462,10014,0,69,247,39,184,10.6851843735
31,10462,10011,1,69,318,39,249,10.1879338296
32,10462,10016,1,69,100,39,82,9.09943358062
33,10462,11354,0,69,22,39,19,5.41595519438
34,10462,10022,2,69,180,39,127,8.08794258262
35,10462,11217,3,69,150,39,92,12.6939939465
36,10462,10174,0,69,4,39,4,8.73840980901
37,10462,11373,1,69,47,39,32,7.3915349556
38,10462,11220,0,69,18,39,14,16.1201147772
39,10462,11230,0,69,8,39,8,16.108548784
40,10462,10040,0,69,114,39,7,3.83658788388
41,10462,11372,0,69,22,39,12,6.49170887942
42,10462,10031,0,69,41,39,29,4.85262185017
43,10462,10305,0,69,6,39,6,20.2628594833
44,10462,10302,0,69,5,39,2,20.6346870702
45,10462,11208,0,69,28,39,9,11.7190420795
46,10462,11102,2,69,34,39,30,5.9917577861
47,10462,11426,0,69,1,39,1,10.4680245461
48,10462,11205,0,69,50,39,32,11.642696978
49,10462,11377,0,69,36,39,26,7.24985324403
50,10462,10301,0,69,15,39,11,19.0739257279
51,10462,11368,0,69,30,39,17,6.55994251457
52,10462,11101,2,69,115,39,79,7.90220525404
53,10462,11430,0,69,99,39,85,13.6310098953
54,10462,11365,0,69,4,39,4,7.92934990798
55,10462,11379,0,69,2,39,2,8.77139445548
56,10462,10128,1,69,40,39,30,6.35998022597
57,10462,11433,1,69,17,39,9,10.7224295748
58,10462,11238,0,69,69,39,44,12.4397382023
59,10462,10154,0,69,5,39,4,8.33738437686
60,10462,11371,0,69,65,39,52,4.91368196221
61,10462,10048,0,69,55,39,44,12.0637568561
62,10462,10080,0,69,3,39,3,7.52339581058
63,10462,11105,0,69,24,39,18,5.33221764971
64,10462,11432,2,69,54,39,38,9.4766836897
65,10462,10029,0,69,22,39,20,5.74877701449
66,10462,11226,9,69,123,39,84,14.5084394476
67,10462,11232,1,69,98,39,12,14.9782528631
68,10462,10312,0,69,11,39,7,26.536256512
69,10462,10035,0,69,44,39,29,4.79353731932
70,10462,11233,0,69,47,39,34,11.8277530976
71,10462,11103,1,69,34,39,24,6.11459400924
72,10462,11237,0,69,46,39,42,10.104380403
73,10462,10021,0,69,45,39,35,7.37613060629
74,10462,11106,0,69,37,39,27,6.72218694228
75,10462,10270,0,69,2,39,2,12.1912074251
76,10462,10033,1,69,46,39,29,4.02607004635
77,10462,10004,0,69,68,39,56,13.7482450999
78,10462,11209,2,69,24,39,19,17.5672243161
79,10462,10024,1,69,77,39,52,7.30704738548
80,10462,10458,0,69,31,39,10,2.19208348445
81,10462,10465,1,69,11,39,8,2.434710371
82,10462,11363,0,69,2,39,2,7.59066152831
83,10462,11201,2,69,133,39,97,12.2297109062
84,10462,11362,0,69,2,39,2,8.69681222884
85,10462,11421,0,69,3,39,3,10.4403605104
86,10462,10310,0,69,26,39,6,19.7959025891
87,10462,11206,0,69,64,39,44,10.6126498577
88,10462,11234,0,69,29,39,14,15.7799607175
89,10462,11355,0,69,7,39,6,6.71961341932
90,10462,10038,2,69,53,39,38,11.8938673341
91,10462,10020,0,69,74,39,66,8.59495159935
92,10462,10032,0,69,49,39,28,4.34657338472
93,10462,10459,0,69,11,39,8,2.1522966295
94,10462,10030,0,69,46,39,29,4.74809302734
95,10462,11221,0,69,66,39,44,11.0050231379
96,10462,10069,0,69,5,39,4,8.30604944877
97,10462,11214,2,69,18,39,11,18.2665527608
98,10462,11374,0,69,13,39,11,8.08997942698
99,10462,10026,0,69,39,39,30,5.72123265142
100,10462,10314,5,69,58,39,33,22.1594617192
101,10462,11358,0,69,4,39,1,6.51800454994
102,10462,11418,0,69,11,39,6,10.0010528052
103,10462,10455,0,69,10,39,9,3.16116804067
104,10462,10034,0,69,35,39,21,3.66517334111
105,10462,11203,0,69,27,39,10,13.8859222988
106,10462,10456,2,69,22,39,13,2.7556876699
107,10462,10282,0,69,7,39,4,11.8784260559
108,10462,11692,0,69,4,39,3,17.5123103274
109,10462,10452,0,69,38,39,27,3.34761650474
110,10462,10451,0,69,29,39,16,3.67944267412
111,10462,10281,0,69,16,39,13,12.028628573
112,10462,10460,0,69,11,39,11,1.14238800254
113,10462,10468,0,69,11,39,10,2.73346856118
114,10462,11385,1,69,60,39,27,9.7651049051
115,10462,10309,0,69,7,39,5,28.4835094436
116,10462,11210,1,69,34,39,14,15.4699067644
117,10462,11223,0,69,14,39,10,17.8649006995
118,10462,11422,0,69,3,39,2,13.9867018767
119,10462,10044,0,69,10,39,7,7.28121660896
120,10462,11236,1,69,13,39,8,14.1131101505
121,10462,11420,0,69,8,39,5,11.8921156268
122,10462,10469,0,69,31,39,6,1.9196059423
123,10462,10308,0,69,6,39,3,25.2673807196
124,10462,11231,0,69,22,39,18,13.5685422856
125,10462,10039,0,69,4,39,4,4.25859255346
126,10462,11428,0,69,4,39,3,10.4392960954
127,10462,11370,1,69,7,39,7,5.71253720214
128,10462,11411,1,69,5,39,4,12.1139825813
129,10462,11413,0,69,4,39,4,13.1363523107
130,10462,11235,0,69,16,39,10,18.4650337291
131,10462,10472,0,69,15,39,10,0.961435481702
132,10462,11369,0,69,21,39,8,5.50866865352
133,10462,11435,0,69,28,39,17,10.1338074246
134,10462,11434,0,69,6,39,4,12.3922383724
135,10462,11204,0,69,8,39,3,16.765545252
136,10462,10463,1,69,22,39,14,3.71009077061
137,10462,11429,0,69,33,39,3,11.1359425244
138,10462,11366,4,69,15,39,11,8.67392471599
139,10462,11218,0,69,6,39,6,14.9621848706
140,10462,10177,0,69,2,39,1,8.59308569528
141,10462,11104,0,69,3,39,3,7.50142320854
142,10462,10111,0,69,9,39,8,8.47197881301
143,10462,11225,0,69,5,39,5,13.3665369358
144,10462,11219,0,69,4,39,4,16.1751546996
145,10462,11229,1,69,13,39,5,17.3131674805
146,10462,10303,0,69,21,39,6,21.6719392096
147,10462,10464,0,69,12,39,2,3.78750044181
148,10462,11693,0,69,4,39,3,17.0427631216
149,10462,11415,1,69,2,39,2,9.45626161593
150,10462,10453,0,69,12,39,12,2.90252867666
151,10462,10304,0,69,5,39,5,20.2190195114
152,10462,11224,0,69,15,39,8,19.6132987952
153,10462,11213,0,69,31,39,9,12.4700495699
154,10462,11416,0,69,3,39,3,10.9713083605
155,10462,10280,0,69,6,39,6,12.4949007268
156,10462,10466,0,69,10,39,6,3.42022609269
157,10462,10454,1,69,8,39,7,3.92127397509
158,10462,10457,0,69,7,39,7,2.11916651873
159,10462,11212,0,69,12,39,9,12.7461602753
160,10462,11361,0,69,36,39,11,7.03119749083
161,10462,11360,0,69,17,39,4,5.92840032573
162,10462,11109,0,69,2,39,2,13.1808165842
163,10462,11356,0,69,5,39,5,3.99107551808
164,10462,11239,0,69,4,39,4,13.5898855321
165,10462,10045,0,69,1,39,1,12.1215596265
166,10462,10153,0,69,7,39,7,8.06587448232
167,10462,11378,0,69,11,39,5,8.46950074533
168,10462,10307,0,69,5,39,1,30.6666121459
169,10462,10473,0,69,4,39,3,1.63263849913
170,10462,11251,0,69,4,39,4,14.3348792228
171,10462,10041,0,69,2,39,2,12.4621655305
172,10462,11417,0,69,3,39,3,11.5215319264
173,10462,10471,0,69,6,39,5,4.67929459843
174,10462,11367,0,69,6,39,5,8.07479420893
175,10462,10037,0,69,5,39,2,4.52374871281
176,10462,11691,0,69,5,39,2,17.4987908764
177,10462,10167,0,69,3,39,1,8.57373778517
178,10462,10285,0,69,1,39,1,12.0424172683
179,10462,10286,0,69,2,39,2,11.9406942856
180,10462,11228,0,69,1,39,1,17.4573682097
181,10462,10169,0,69,1,39,1,8.63453702033
182,10462,11005,0,69,4,39,2,9.56190192198
183,10462,11357,0,69,4,39,2,4.75086589867
184,10462,11004,1,69,2,39,2,10.3918368676
185,10462,10121,0,69,1,39,1,9.46627040034
186,10462,11364,0,69,5,39,4,8.37641125438
187,10462,10475,0,69,7,39,6,3.05258655725
188,10462,11419,0,69,1,39,1,10.7622616073
189,10462,11436,0,69,1,39,1,12.0385296234
190,10462,10152,0,69,3,39,3,8.29077879715
191,10462,10103,0,69,1,39,1,8.3979487937
192,10462,10467,0,69,5,39,5,2.1514941239
193,10462,11423,0,69,2,39,2,10.0189304022
194,10462,11412,0,69,1,39,1,11.2755372905
195,10462,10104,0,69,1,39,1,8.47731248451
196,10462,10110,0,69,1,39,1,8.83655752209
197,10462,10474,0,69,1,39,1,2.50870168392
198,10462,10278,0,69,3,39,2,11.5864828046
199,10462,11427,0,69,1,39,1,9.7766762061
200,10462,10260,0,69,1,39,1,7.52339581058
201,10462,10120,0,69,1,39,1,9.32491990907
202,10462,10119,0,69,1,39,1,9.45035536458
203,10023,10462,1,169,69,126,39,7.95054052961
204,10023,10023,126,169,169,126,126,0.0
205,10023,10007,10,169,1750,126,1003,4.42180257316
206,10023,10013,2,169,579,126,417,4.00173011439
207,10023,10025,2,169,80,126,51,1.72840092576
208,10023,10461,0,169,52,126,24,8.87591912322
209,10023,10027,1,169,54,126,42,2.91564089235
210,10023,10001,6,169,538,126,369,1.89119170597
211,10023,11222,0,169,53,126,41,3.95346611038
212,10023,10118,2,169,43,126,39,1.87965043873
213,10023,11375,1,169,45,126,24,8.14926181148
214,10023,11211,4,169,189,126,147,4.66451869512
215,10023,10010,1,169,175,126,136,2.5587607426
216,10023,11215,2,169,100,126,76,7.4944259879
217,10023,10003,6,169,305,126,247,3.02710614298
218,10023,10470,0,169,13,126,7,10.7147436106
219,10023,10005,2,169,60,126,44,5.02071435639
220,10023,10036,7,169,511,126,345,1.20765748027
221,10023,10166,0,169,6,126,4,1.52411583339
222,10023,10017,3,169,211,126,135,1.74202686702
223,10023,10018,5,169,162,126,139,1.55048159307
224,10023,10019,7,169,415,126,296,0.730972985442
225,10023,10012,2,169,263,126,209,3.55393100767
226,10023,10006,0,169,13,126,10,4.97162383544
227,10023,10009,0,169,135,126,47,3.38875593127
228,10023,11207,0,169,54,126,27,8.62309375662
229,10023,10002,2,169,209,126,151,4.08104326179
230,10023,10306,0,169,11,126,10,15.9291116335
231,10023,10028,2,169,54,126,44,1.50881896389
232,10023,11216,0,169,38,126,29,6.84896335554
233,10023,10014,2,169,247,126,184,3.08925155876
234,10023,10011,3,169,318,126,249,2.5851181091
235,10023,10016,2,169,100,126,82,2.08286027627
236,10023,11354,0,169,22,126,19,8.30170941375
237,10023,10022,2,169,180,126,127,1.43299701042
238,10023,11217,2,169,150,126,92,6.49220119525
