,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10012,10012,233,317,317,233,233,0.0
1,10012,10022,6,317,214,233,171,2.8022826015
2,10012,10013,11,317,651,233,376,0.515185223657
3,10012,10018,5,317,286,233,209,2.02765221523
4,10012,11217,5,317,149,233,104,3.21301574905
5,10012,11430,3,317,122,233,109,11.8498084767
6,10012,10016,3,317,114,233,90,1.76997956799
7,10012,10024,1,317,76,233,53,4.31614179898
8,10012,10471,2,317,33,233,11,13.0507802714
9,10012,10011,9,317,340,233,269,1.04281950404
10,10012,10004,1,317,132,233,69,2.90903289528
11,10012,10007,13,317,1645,233,932,0.902634840492
12,10012,10455,3,317,26,233,18,7.79930541014
13,10012,11211,7,317,268,233,194,2.50383180559
14,10012,10037,3,317,31,233,12,6.85804177811
15,10012,11106,2,317,18,233,15,4.30168058651
16,10012,11212,1,317,13,233,11,6.27048725889
17,10012,11207,1,317,37,233,30,6.65852636675
18,10012,10038,6,317,97,233,45,1.1576344356
19,10012,10014,2,317,288,233,204,0.706717733491
20,10012,10475,2,317,14,233,7,13.894064652
21,10012,10036,6,317,517,233,355,2.35428748906
22,10012,11101,2,317,117,233,68,3.38620451011
23,10012,11201,4,317,271,233,200,2.17182039568
24,10012,10020,6,317,431,233,330,2.44863615063
25,10012,11231,2,317,67,233,30,3.26160615973
26,10012,11215,3,317,137,233,88,4.08842814459
27,10012,10030,1,317,29,233,17,6.98149583661
28,10012,11358,0,317,5,233,4,10.8774708185
29,10012,10023,2,317,136,233,99,3.55393100767
30,10012,10462,2,317,81,233,35,10.8631593088
31,10012,11209,2,317,32,233,21,7.27243152968
32,10012,10002,6,317,168,233,133,0.856308588948
33,10012,10001,7,317,613,233,399,1.71265815031
34,10012,11221,0,317,51,233,36,4.47469384558
35,10012,10026,1,317,39,233,32,5.7785491218
36,10012,10454,2,317,17,233,10,7.00096489898
37,10012,10456,2,317,27,233,18,8.56718049213
38,10012,10452,2,317,51,233,37,8.74401232639
39,10012,11375,3,317,62,233,34,8.01562385241
40,10012,11102,4,317,40,233,35,4.97476085396
41,10012,10027,3,317,113,233,72,6.40054670114
42,10012,11234,0,317,15,233,14,8.43643628551
43,10012,11232,2,317,126,233,21,4.87305405142
44,10012,10019,7,317,614,233,380,2.8234340812
45,10012,11230,0,317,25,233,6,7.32682878102
46,10012,11222,2,317,92,233,70,2.76921041443
47,10012,10305,0,317,31,233,12,9.64148956266
48,10012,10028,1,317,60,233,53,4.20535144587
49,10012,11105,0,317,41,233,30,5.80508826758
50,10012,11213,0,317,32,233,16,5.06198052942
51,10012,10003,11,317,366,233,279,0.653381968999
52,10012,10034,1,317,50,233,35,10.6052657469
53,10012,10017,2,317,311,233,150,2.26596148558
54,10012,11228,0,317,56,233,20,7.51234767835
55,10012,11205,2,317,44,233,31,2.79464002178
56,10012,11420,2,317,34,233,16,10.323050651
57,10012,10021,1,317,60,233,47,3.54087603375
58,10012,10009,2,317,114,233,79,1.03709579489
59,10012,11373,2,317,52,233,41,6.35314611767
60,10012,11368,2,317,45,233,22,7.48956133355
61,10012,10281,2,317,37,233,35,1.17087633648
62,10012,11434,2,317,13,233,8,12.3624507504
63,10012,10029,2,317,33,233,30,5.30285580331
64,10012,11214,0,317,15,233,9,8.76164691931
65,10012,11422,0,317,11,233,7,14.4994513004
66,10012,11355,2,317,31,233,24,9.5302970677
67,10012,11415,0,317,8,233,8,8.94959394959
68,10012,10128,3,317,34,233,29,4.60729835531
69,10012,10312,0,317,7,233,7,15.7056073474
70,10012,10010,4,317,236,233,162,1.24237319602
71,10012,10453,0,317,32,233,20,9.86425560782
72,10012,10308,0,317,6,233,4,14.4751728239
73,10012,11235,2,317,18,233,14,10.1301575451
74,10012,11238,0,317,57,233,42,3.67727992401
75,10012,10459,2,317,16,233,13,8.80283240472
76,10012,11418,0,317,6,233,6,8.85258074419
77,10012,10472,2,317,45,233,15,9.91794157395
78,10012,10035,2,317,51,233,31,6.27358896912
79,10012,11433,0,317,12,233,7,11.2633809632
80,10012,10469,2,317,32,233,9,12.6343423101
81,10012,10111,1,317,16,233,14,2.53763810765
82,10012,10470,0,317,7,233,5,14.0472110842
83,10012,11237,1,317,56,233,50,4.40242161873
84,10012,10458,3,317,34,233,27,11.1328133554
85,10012,11378,2,317,34,233,13,5.02182447542
86,10012,10463,0,317,12,233,11,11.7163293161
87,10012,11432,3,317,31,233,15,10.7985208396
88,10012,11203,0,317,10,233,9,6.31832623051
89,10012,10121,0,317,1,233,1,1.66869184674
90,10012,10025,3,317,100,233,58,5.25087395144
91,10012,10461,2,317,62,233,23,11.6484611479
92,10012,11225,4,317,29,233,15,4.90896932153
93,10012,11371,3,317,47,233,44,7.20808295845
94,10012,11357,0,317,7,233,6,10.7129395129
95,10012,11419,0,317,9,233,5,9.6020036924
96,10012,10301,2,317,27,233,17,8.22546383145
97,10012,10451,2,317,26,233,15,7.60110584127
98,10012,11426,2,317,9,233,7,14.5605515204
99,10012,11204,1,317,21,233,8,7.41883109296
100,10012,11206,7,317,74,233,59,3.33671686767
101,10012,10467,2,317,22,233,18,12.1513802633
102,10012,11372,3,317,31,233,13,6.21225187566
103,10012,11354,1,317,30,233,20,9.54932882494
104,10012,11226,2,317,147,233,42,6.00560527965
105,10012,10006,1,317,23,233,21,1.47618498726
106,10012,10031,3,317,55,233,38,7.38915859277
107,10012,10306,0,317,8,233,6,12.4964906565
108,10012,10005,0,317,53,233,27,1.47727873209
109,10012,11103,1,317,26,233,23,5.25112513637
110,10012,10285,1,317,6,233,6,1.19484104205
111,10012,10120,0,317,9,233,9,1.76534846006
112,10012,11377,2,317,51,233,29,5.09911598288
113,10012,10154,0,317,2,233,2,2.58816086469
114,10012,11224,3,317,34,233,21,10.31269532
115,10012,11697,0,317,3,233,3,12.3679727059
116,10012,10105,0,317,3,233,2,2.7468668821
117,10012,10153,0,317,6,233,6,2.93431388947
118,10012,11104,2,317,19,233,14,4.31780268727
119,10012,10032,2,317,58,233,30,8.45846081635
120,10012,11369,2,317,14,233,7,7.17539314881
121,10012,11216,0,317,39,233,28,4.09946262641
122,10012,10044,0,317,13,233,12,3.59210355295
123,10012,10048,5,317,65,233,55,1.20471748848
124,10012,10465,2,317,32,233,20,11.7200283106
125,10012,11379,0,317,6,233,5,6.28955621945
126,10012,10118,0,317,8,233,7,1.70746062304
127,10012,11421,1,317,34,233,8,7.74272225848
128,10012,10033,2,317,37,233,25,9.10251830027
129,10012,11233,0,317,57,233,32,5.383868488
130,10012,11363,0,317,6,233,3,13.6056039693
131,10012,10280,0,317,6,233,6,1.63468375066
132,10012,11417,0,317,5,233,5,8.78379184277
133,10012,10309,2,317,11,233,10,17.6266933328
134,10012,10310,2,317,7,233,7,8.93383636331
135,10012,11385,2,317,55,233,22,5.75948278071
136,10012,10041,0,317,1,233,1,1.69746917698
137,10012,10040,2,317,29,233,20,9.86430074927
138,10012,11361,0,317,23,233,12,12.0543941099
139,10012,10466,0,317,7,233,5,13.8765776771
140,10012,11229,3,317,34,233,15,9.24429959987
141,10012,11435,3,317,46,233,16,10.0561721743
142,10012,10314,3,317,68,233,33,11.2967497313
143,10012,11360,0,317,16,233,4,12.054431119
144,10012,10468,2,317,24,233,17,11.04127754
145,10012,11411,0,317,1,233,1,13.9688671233
146,10012,11208,3,317,49,233,14,7.56379255684
147,10012,11414,2,317,15,233,12,9.39434135001
148,10012,10303,0,317,12,233,3,10.8912596586
149,10012,10457,2,317,20,233,12,9.83990734316
150,10012,11374,1,317,10,233,10,7.21532180075
151,10012,11362,0,317,12,233,7,14.1072579081
152,10012,11219,0,317,7,233,7,6.45333054735
153,10012,10279,0,317,1,233,1,1.03948900846
154,10012,10304,2,317,16,233,9,9.46279236944
155,10012,11109,0,317,2,233,2,8.44838980882
156,10012,11370,0,317,4,233,4,6.20933001113
157,10012,11218,2,317,17,233,14,5.73910453242
158,10012,11366,0,317,12,233,11,10.6732960622
159,10012,11220,2,317,15,233,10,5.90349911834
160,10012,11367,2,317,46,233,11,9.28747954242
161,10012,11236,2,317,23,233,14,7.71409194645
162,10012,10460,2,317,25,233,12,10.062341782
