,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10012,10012,275,394,394,275,275,0.0
1,10012,10314,4,394,83,275,50,11.2967497313
2,10012,11358,0,394,9,275,7,10.8774708185
3,10012,11215,0,394,117,275,91,4.08842814459
4,10012,10016,6,394,156,275,128,1.76997956799
5,10012,10111,0,394,17,275,14,2.53763810765
6,10012,10013,10,394,706,275,391,0.515185223657
7,10012,10036,12,394,703,275,517,2.35428748906
8,10012,10007,19,394,1867,275,1114,0.902634840492
9,10012,10019,13,394,508,275,371,2.8234340812
10,10012,10281,1,394,26,275,22,1.17087633648
11,10012,10010,10,394,182,275,154,1.24237319602
12,10012,11211,10,394,324,275,235,2.50383180559
13,10012,10457,0,394,39,275,20,9.83990734316
14,10012,11226,2,394,206,275,120,6.00560527965
15,10012,10014,13,394,333,275,267,0.706717733491
16,10012,11694,2,394,6,275,6,13.0174478675
17,10012,10003,13,394,460,275,354,0.653381968999
18,10012,11377,2,394,84,275,35,5.09911598288
19,10012,10040,0,394,56,275,36,9.86430074927
20,10012,11415,0,394,16,275,10,8.94959394959
21,10012,10002,6,394,242,275,163,0.856308588948
22,10012,10001,10,394,697,275,427,1.71265815031
23,10012,10020,3,394,176,275,136,2.44863615063
24,10012,10023,7,394,158,275,121,3.55393100767
25,10012,11201,7,394,255,275,191,2.17182039568
26,10012,10459,2,394,28,275,13,8.80283240472
27,10012,10022,8,394,206,275,158,2.8022826015
28,10012,10034,3,394,90,275,51,10.6052657469
29,10012,11232,3,394,139,275,34,4.87305405142
30,10012,11233,0,394,48,275,32,5.383868488
31,10012,10018,3,394,264,275,201,2.02765221523
32,10012,10048,3,394,105,275,85,1.20471748848
33,10012,11234,3,394,30,275,20,8.43643628551
34,10012,10017,9,394,282,275,171,2.26596148558
35,10012,10472,2,394,44,275,9,9.91794157395
36,10012,11354,0,394,42,275,21,9.54932882494
37,10012,10025,1,394,106,275,43,5.25087395144
38,10012,11371,2,394,79,275,70,7.20808295845
39,10012,10451,2,394,41,275,22,7.60110584127
40,10012,11238,1,394,79,275,43,3.67727992401
41,10012,11361,2,394,13,275,8,12.0543941099
42,10012,10011,13,394,331,275,263,1.04281950404
43,10012,10469,2,394,36,275,9,12.6343423101
44,10012,10453,2,394,28,275,18,9.86425560782
45,10012,11356,1,394,12,275,8,9.0957316572
46,10012,10282,0,394,12,275,12,1.03528070349
47,10012,11206,0,394,59,275,51,3.33671686767
48,10012,11231,2,394,45,275,40,3.26160615973
49,10012,11222,4,394,124,275,79,2.76921041443
50,10012,10027,5,394,110,275,77,6.40054670114
51,10012,10475,0,394,28,275,14,13.894064652
52,10012,11217,2,394,86,275,67,3.21301574905
53,10012,11209,3,394,40,275,22,7.27243152968
54,10012,10004,3,394,147,275,78,2.90903289528
55,10012,10024,1,394,113,275,62,4.31614179898
56,10012,10466,2,394,13,275,9,13.8765776771
57,10012,11418,1,394,13,275,13,8.85258074419
58,10012,11357,0,394,6,275,5,10.7129395129
59,10012,11101,7,394,120,275,90,3.38620451011
60,10012,10009,3,394,137,275,100,1.03709579489
61,10012,11103,2,394,25,275,22,5.25112513637
62,10012,10301,2,394,33,275,25,8.22546383145
63,10012,10038,6,394,191,275,88,1.1576344356
64,10012,11430,4,394,134,275,120,11.8498084767
65,10012,11221,1,394,77,275,60,4.47469384558
66,10012,10455,0,394,39,275,15,7.79930541014
67,10012,11355,0,394,15,275,7,9.5302970677
68,10012,11237,0,394,67,275,62,4.40242161873
69,10012,11224,4,394,21,275,19,10.31269532
70,10012,10463,3,394,31,275,19,11.7163293161
71,10012,10471,2,394,15,275,13,13.0507802714
72,10012,11207,2,394,45,275,25,6.65852636675
73,10012,10465,2,394,20,275,15,11.7200283106
74,10012,11432,3,394,76,275,37,10.7985208396
75,10012,11235,3,394,25,275,14,10.1301575451
76,10012,10031,2,394,48,275,32,7.38915859277
77,10012,10458,0,394,41,275,34,11.1328133554
78,10012,10309,0,394,8,275,6,17.6266933328
79,10012,10033,2,394,46,275,34,9.10251830027
80,10012,11229,4,394,21,275,13,9.24429959987
81,10012,11106,0,394,28,275,23,4.30168058651
82,10012,10021,2,394,47,275,39,3.54087603375
83,10012,11369,2,394,21,275,11,7.17539314881
84,10012,11220,2,394,24,275,11,5.90349911834
85,10012,10005,4,394,81,275,52,1.47727873209
86,10012,11373,2,394,43,275,29,6.35314611767
87,10012,10467,0,394,22,275,14,12.1513802633
88,10012,10028,2,394,71,275,52,4.20535144587
89,10012,10462,4,394,98,275,52,10.8631593088
90,10012,11421,0,394,2,275,1,7.74272225848
91,10012,11372,0,394,27,275,22,6.21225187566
92,10012,11433,2,394,61,275,16,11.2633809632
93,10012,11225,2,394,12,275,10,4.90896932153
94,10012,10308,1,394,9,275,7,14.4751728239
95,10012,10452,2,394,53,275,27,8.74401232639
96,10012,10029,0,394,61,275,37,5.30285580331
97,10012,10026,0,394,42,275,40,5.7785491218
98,10012,10103,1,394,4,275,4,2.6408412302
99,10012,10310,0,394,14,275,6,8.93383636331
100,10012,11203,2,394,10,275,8,6.31832623051
101,10012,11385,3,394,41,275,34,5.75948278071
102,10012,10006,4,394,33,275,24,1.47618498726
103,10012,11105,3,394,34,275,27,5.80508826758
104,10012,11362,0,394,17,275,7,14.1072579081
105,10012,10464,2,394,6,275,6,14.2223693203
106,10012,11370,0,394,12,275,9,6.20933001113
107,10012,11205,3,394,44,275,31,2.79464002178
108,10012,11364,0,394,5,275,4,12.5945998023
109,10012,11208,0,394,34,275,10,7.56379255684
110,10012,11375,4,394,80,275,33,8.01562385241
111,10012,11422,0,394,9,275,7,14.4994513004
112,10012,11412,0,394,5,275,4,12.6978427063
113,10012,11379,0,394,8,275,8,6.28955621945
114,10012,10032,2,394,49,275,31,8.45846081635
115,10012,10280,1,394,9,275,7,1.63468375066
116,10012,11102,4,394,43,275,37,4.97476085396
117,10012,11104,0,394,13,275,8,4.31780268727
118,10012,11109,0,394,3,275,3,8.44838980882
119,10012,11214,3,394,21,275,9,8.76164691931
120,10012,11368,4,394,48,275,31,7.48956133355
121,10012,11216,2,394,40,275,27,4.09946262641
122,10012,11428,0,394,2,275,2,13.5018214117
123,10012,10306,0,394,25,275,13,12.4964906565
124,10012,11417,3,394,6,275,5,8.78379184277
125,10012,11218,0,394,27,275,17,5.73910453242
126,10012,11436,2,394,5,275,3,11.1680368673
127,10012,11228,0,394,12,275,4,7.51234767835
128,10012,11040,0,394,4,275,3,16.8049842548
129,10012,10128,4,394,32,275,29,4.60729835531
