,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10314,10314,18,26,26,18,18,0.0
1,10314,11209,0,26,13,18,7,6.19134263591
2,10314,11232,0,26,24,18,4,8.14590722995
3,10314,11214,1,26,5,18,5,7.85359986931
4,10314,10301,0,26,4,18,4,3.19656527073
5,10314,11224,1,26,8,18,7,8.32643715711
6,10314,11361,0,26,6,18,5,22.3006764024
7,10314,11373,0,26,12,18,10,16.6448229753
8,10314,11432,0,26,12,18,8,19.9308916906
9,10314,11430,0,26,27,18,25,18.6229086796
10,10314,10305,0,26,3,18,3,3.72108975339
11,10314,11418,0,26,6,18,2,17.5606864452
12,10314,11354,0,26,10,18,6,20.1792521724
13,10314,11233,0,26,8,18,7,12.8657253727
14,10314,11366,1,26,1,18,1,20.1674575471
15,10314,11414,0,26,7,18,3,16.2697793275
16,10314,11433,0,26,2,18,2,19.8064723421
17,10314,11377,0,26,4,18,3,15.7966846987
18,10314,11367,0,26,1,18,1,18.9844190695
19,10314,11237,0,26,16,18,11,13.5966712141
20,10314,11371,0,26,8,18,8,18.219666288
21,10314,11368,0,26,6,18,6,17.9241149552
22,10314,11369,0,26,4,18,4,18.0200766785
23,10314,11356,0,26,1,18,1,20.0859817344
24,10314,11207,0,26,7,18,5,13.919260244
25,10314,10306,0,26,4,18,4,2.92526476223
26,10314,10304,0,26,1,18,1,2.90585656065
27,10314,11372,0,26,14,18,5,16.916584211
28,10314,11364,0,26,2,18,2,22.4344623173
29,10314,11374,0,26,4,18,3,17.0296407854
30,10314,11375,1,26,8,18,6,17.5906306053
31,10314,11212,0,26,5,18,3,12.7825167438
32,10314,11365,0,26,1,18,1,20.6830438212
33,10314,10016,0,26,21,18,16,13.0605823046
34,10314,10023,0,26,26,18,21,14.486644925
35,10314,11206,0,26,12,18,12,12.524155431
36,10314,10312,0,26,1,18,1,4.65993526103
37,10314,11106,0,26,8,18,5,15.5353102337
38,10314,11101,1,26,16,18,14,14.4631693345
39,10314,10036,0,26,91,18,78,13.3398057814
40,10314,10019,1,26,86,18,76,13.8259803685
41,10314,10027,0,26,22,18,18,17.3888509519
42,10314,10462,2,26,23,18,9,22.1594617192
43,10314,10018,0,26,80,18,67,12.9970592652
44,10314,10017,1,26,69,18,46,13.5522472505
45,10314,10021,0,26,11,18,10,14.8047357747
46,10314,10001,1,26,70,18,60,12.6579546936
47,10314,10452,1,26,5,18,5,19.8487075422
48,10314,10022,0,26,33,18,31,14.0793059633
49,10314,10032,0,26,8,18,7,19.3834874188
50,10314,11221,0,26,9,18,9,12.9034572279
51,10314,10453,0,26,4,18,4,20.9596800888
52,10314,11378,0,26,4,18,3,15.1084959271
53,10314,10007,3,26,329,18,234,10.4156895679
54,10314,10031,0,26,10,18,8,18.341898003
55,10314,10310,0,26,8,18,2,2.36442238531
56,10314,10014,0,26,101,18,70,11.5077570578
57,10314,11226,1,26,57,18,26,10.323383685
58,10314,11217,0,26,23,18,17,10.229465787
59,10314,10013,0,26,83,18,68,10.7818128975
60,10314,10005,0,26,3,18,3,9.93983399339
61,10314,11205,0,26,7,18,7,11.229283106
62,10314,11211,0,26,50,18,43,12.402950418
63,10314,11204,0,26,11,18,3,8.47921988064
64,10314,10012,0,26,53,18,47,11.2967497313
65,10314,10002,0,26,51,18,32,11.286695218
66,10314,10010,0,26,35,18,30,12.5390981856
67,10314,10464,0,26,4,18,1,25.4674323026
68,10314,11216,0,26,13,18,11,11.5415452384
69,10314,10473,0,26,2,18,2,20.9800812925
70,10314,10025,0,26,12,18,12,16.1937233089
71,10314,10020,0,26,17,18,16,13.6200058544
72,10314,11411,0,26,1,18,1,22.3409033612
73,10314,10003,1,26,63,18,56,11.9492086949
74,10314,11201,0,26,34,18,30,10.2438476393
75,10314,10034,0,26,12,18,10,21.5582297845
76,10314,11238,0,26,9,18,7,10.863153446
77,10314,11222,0,26,19,18,16,13.3581607196
78,10314,11435,0,26,6,18,5,18.7687192165
79,10314,11210,0,26,6,18,4,10.6009774911
80,10314,10011,1,26,60,18,55,12.0164201452
81,10314,11385,0,26,6,18,6,14.8429870847
82,10314,10009,0,26,17,18,14,12.0809666848
83,10314,10467,0,26,4,18,4,23.3705592322
84,10314,10308,2,26,3,18,2,3.80639460636
85,10314,10006,0,26,4,18,4,9.84985772578
86,10314,10030,0,26,14,18,11,18.0467427657
87,10314,10118,0,26,3,18,3,12.8986313318
88,10314,11234,0,26,5,18,4,11.7843667544
89,10314,10469,0,26,2,18,2,23.9139162868
90,10314,10458,0,26,9,18,7,22.3050361519
91,10314,11235,0,26,2,18,2,10.3706389272
92,10314,10028,1,26,7,18,6,15.4590091006
93,10314,10024,0,26,10,18,9,15.2392573435
94,10314,10281,0,26,2,18,2,10.1309810483
95,10314,10460,0,26,2,18,2,21.3372269154
96,10314,11105,0,26,5,18,5,17.0250588213
97,10314,10029,0,26,2,18,2,16.5235984493
98,10314,10048,0,26,10,18,10,10.0987533095
99,10314,11215,0,26,14,18,14,9.38806079978
100,10314,10038,0,26,13,18,9,10.3013779713
101,10314,10474,0,26,3,18,3,19.664456656
102,10314,11223,0,26,1,18,1,9.10760509134
103,10314,10303,1,26,3,18,1,1.83483769075
104,10314,10472,0,26,3,18,3,21.2146440319
105,10314,10456,0,26,5,18,3,19.7928744615
106,10314,10167,0,26,2,18,1,13.5996144645
107,10314,10461,0,26,7,18,5,22.9374131937
108,10314,10451,0,26,3,18,2,18.8067883046
109,10314,11417,0,26,1,18,1,16.4941940518
110,10314,11230,0,26,2,18,1,9.57926314347
111,10314,10026,0,26,8,18,6,16.8481535691
112,10314,11218,1,26,4,18,4,9.27710709112
113,10314,11427,0,26,1,18,1,22.5059524943
114,10314,10280,0,26,3,18,3,9.66773811237
115,10314,11220,0,26,2,18,2,7.22096275372
116,10314,11239,1,26,1,18,1,14.2447191735
117,10314,10004,0,26,9,18,9,8.42164265777
118,10314,11434,0,26,1,18,1,20.1390561594
119,10314,10033,0,26,6,18,5,20.0386152126
120,10314,11225,0,26,2,18,2,10.724946747
121,10314,10455,0,26,1,18,1,19.0742224997
122,10314,11251,0,26,1,18,1,10.8545880762
123,10314,10111,0,26,2,18,2,13.733619172
124,10314,10307,0,26,2,18,2,8.53151938263
125,10314,11355,0,26,1,18,1,19.7565191624
126,10314,11103,0,26,6,18,5,16.3759849053
127,10314,11208,0,26,11,18,2,15.0443635991
128,10314,10457,0,26,2,18,1,21.0393481938
129,10314,10035,0,26,2,18,2,17.5046976198
130,10314,11357,0,26,1,18,1,21.5007309161
131,10314,10466,0,26,2,18,1,25.1082783972
132,10314,10037,0,26,6,18,2,18.0141087016
133,10314,10169,0,26,1,18,1,13.5405793782
134,10314,11363,0,26,1,18,1,23.8785620757
135,10314,11412,0,26,1,18,1,21.2145527772
136,10314,11236,0,26,4,18,1,12.9148261931
137,10314,11691,0,26,1,18,1,20.2792037125
138,10314,10044,0,26,3,18,3,14.8856007818
139,10314,11419,0,26,1,18,1,17.900090414
140,10314,10069,0,26,1,18,1,14.218719648
141,10314,10103,0,26,1,18,1,13.8194616388
142,10314,10153,0,26,2,18,2,14.1428332283
143,10314,10040,0,26,1,18,1,20.796790187
144,10314,10454,0,26,1,18,1,18.2800222795
145,10314,10465,0,26,1,18,1,22.9134562131
146,10314,11229,0,26,1,18,1,10.7372100995
147,10314,11102,0,26,3,18,3,16.2385611307
148,10314,11360,1,26,1,18,1,22.6248663817
149,10314,11228,0,26,2,18,2,7.06003489994
150,10314,10309,0,26,1,18,1,6.37934040302
151,10314,11694,0,26,1,18,1,15.8055365464
152,10314,11693,0,26,1,18,1,17.1232442829
153,10314,10039,0,26,1,18,1,18.6926109181
154,10314,10468,0,26,1,18,1,22.1460443442
155,10314,11231,0,26,2,18,2,9.00942155828
156,10314,10166,0,26,1,18,1,13.5411138521
157,10314,11423,0,26,2,18,2,21.1581342327
158,10314,10475,0,26,1,18,1,25.1852474294
159,10314,10470,0,26,1,18,1,25.2011080871
160,10314,10128,0,26,1,18,1,15.8540478135
161,10314,10471,0,26,1,18,1,23.9521299668
162,10314,10463,0,26,1,18,1,22.6927588735
163,11209,10314,0,13,26,7,18,6.19134263591
164,11209,11209,7,13,13,7,7,0.0
165,11209,11232,0,13,24,7,4,2.58898966126
166,11209,11214,0,13,5,7,5,2.42667733627
167,11209,10301,0,13,4,7,4,3.45790415693
168,11209,11224,0,13,8,7,7,3.78460241147
169,11209,11361,0,13,6,7,5,16.5342350946
170,11209,11373,1,13,12,7,10,11.1306947744
171,11209,11432,1,13,12,7,8,13.9069756867
172,11209,11430,0,13,27,7,25,12.4342550672
173,11209,10305,0,13,3,7,3,2.92093060831
174,11209,11418,0,13,6,7,2,11.5257914703
175,11209,11354,0,13,10,7,6,14.6658077008
176,11209,11233,1,13,8,7,7,6.90615338447
177,11209,11366,0,13,1,7,1,14.2171281828
178,11209,11414,0,13,7,7,3,10.0838509804
179,11209,11433,0,13,2,7,2,13.692295306
180,11209,11377,0,13,4,7,3,10.5699267056
181,11209,11367,0,13,1,7,1,13.1262036219
182,11209,11237,0,13,16,7,11,7.98015633046
183,11209,11371,0,13,8,7,8,13.0837136564
184,11209,11368,0,13,6,7,6,12.4019219953
185,11209,11369,0,13,4,7,4,12.7473432424
186,11209,11356,0,13,1,7,1,14.848792192
187,11209,11207,0,13,7,7,5,7.83106059304
188,11209,10306,0,13,4,7,4,5.95093966449
189,11209,10304,0,13,1,7,1,3.34948862594
190,11209,11372,0,13,14,7,5,11.6098251276
191,11209,11364,1,13,2,7,2,16.5240113547
192,11209,11374,0,13,4,7,3,11.2994153268
193,11209,11375,1,13,8,7,6,11.7544866484
194,11209,11212,0,13,5,7,3,6.67286704189
195,11209,11365,0,13,1,7,1,14.808173819
196,11209,10016,1,13,21,7,16,8.90857388623
197,11209,10023,0,13,26,7,21,10.8263483207
198,11209,11206,0,13,12,7,12,7.1055582772
199,11209,10312,0,13,1,7,1,9.49799341453
200,11209,11106,0,13,8,7,5,10.8701484781
201,11209,11101,0,13,16,7,14,9.67018581977
202,11209,10036,0,13,91,7,78,9.62495251583
203,11209,10019,1,13,86,7,76,10.0957245433
204,11209,10027,0,13,22,7,18,13.6416088585
205,11209,10462,0,13,23,7,9,17.5672243161
206,11209,10018,1,13,80,7,67,9.29243430268
207,11209,10017,1,13,69,7,46,9.38719714112
208,11209,10021,0,13,11,7,10,10.6519527154
209,11209,10001,0,13,70,7,60,8.96467541767
210,11209,10452,0,13,5,7,5,15.8967453412
211,11209,10022,1,13,33,7,31,9.91969483516
212,11209,10032,1,13,8,7,7,15.6966371618
213,11209,11221,0,13,9,7,9,7.16674851167
214,11209,10453,0,13,4,7,4,17.0077483549
215,11209,11378,0,13,4,7,3,9.63181944033
216,11209,10007,1,13,329,7,234,6.42026809583
217,11209,10031,0,13,10,7,8,14.6296979259
218,11209,10310,0,13,8,7,2,4.56278700201
219,11209,10014,1,13,101,7,70,7.79431707981
220,11209,11226,0,13,57,7,26,4.1738516663
221,11209,11217,0,13,23,7,17,4.88325419121
222,11209,10013,0,13,83,7,68,6.84009405193
223,11209,10005,0,13,3,7,3,5.81466169291
224,11209,11205,0,13,7,7,7,5.94541973951
225,11209,11211,0,13,50,7,43,7.29279006997
226,11209,11204,0,13,11,7,3,2.37274153084
227,11209,10012,0,13,53,7,47,7.27243152968
228,11209,10002,0,13,51,7,32,6.84474646061
229,11209,10010,0,13,35,7,30,8.36700100936
230,11209,10464,0,13,4,7,1,20.4800782035
231,11209,11216,0,13,13,7,11,5.81168945785
232,11209,10473,0,13,2,7,2,16.1768462425
233,11209,10025,0,13,12,7,12,12.5136810654
234,11209,10020,0,13,17,7,16,9.69429018299
235,11209,11411,0,13,1,7,1,16.1800987511
236,11209,10003,0,13,63,7,56,7.82722727597
237,11209,11201,0,13,34,7,30,5.40431500003
238,11209,10034,0,13,12,7,10,17.8153234511
239,11209,11238,0,13,9,7,7,5.27005633265
240,11209,11222,1,13,19,7,16,8.36516610679
241,11209,11435,0,13,6,7,5,12.6995499812
242,11209,11210,0,13,6,7,4,4.42692780225
243,11209,10011,0,13,60,7,55,8.26970523617
244,11209,11385,1,13,6,7,6,9.04843014244
245,11209,10009,0,13,17,7,14,7.64602668412
246,11209,10467,0,13,4,7,4,19.1262331333
247,11209,10308,0,13,3,7,2,8.09078932478
248,11209,10006,0,13,4,7,4,5.90068878363
249,11209,10030,0,13,14,7,11,14.1847897805
250,11209,10118,0,13,3,7,3,8.96510587286
251,11209,11234,0,13,5,7,4,5.68241567884
252,11209,10469,0,13,2,7,2,19.4434615129
253,11209,10458,0,13,9,7,7,18.1885383373
254,11209,11235,0,13,2,7,2,4.98130902656
255,11209,10028,0,13,7,7,6,11.3082211189
256,11209,10024,0,13,10,7,9,11.5870116095
257,11209,10281,0,13,2,7,2,6.35101934962
258,11209,10460,0,13,2,7,2,16.9380586618
259,11209,11105,1,13,5,7,5,12.2379576289
260,11209,10029,0,13,2,7,2,12.4188800456
261,11209,10048,0,13,10,7,10,6.1949578564
262,11209,11215,0,13,14,7,14,3.82640285557
263,11209,10038,1,13,13,7,9,6.11497380453
264,11209,10474,0,13,3,7,3,15.0769793812
265,11209,11223,0,13,1,7,1,3.47229799331
266,11209,10303,0,13,3,7,1,6.99945719663
267,11209,10472,0,13,3,7,3,16.6062084095
268,11209,10456,0,13,5,7,3,15.593432523
269,11209,10167,0,13,2,7,1,9.52143044972
270,11209,10461,0,13,7,7,5,18.1809454068
271,11209,10451,0,13,3,7,2,14.677921385
272,11209,11417,0,13,1,7,1,10.357169943
273,11209,11230,0,13,2,7,1,3.42957358471
274,11209,10026,0,13,8,7,6,12.9989533496
275,11209,11218,0,13,4,7,4,3.1749924128
276,11209,11427,0,13,1,7,1,16.4753180893
277,11209,10280,0,13,3,7,3,5.84216865014
278,11209,11220,0,13,2,7,2,1.44721519083
279,11209,11239,0,13,1,7,1,8.05344671128
280,11209,10004,0,13,9,7,9,5.27690030877
281,11209,11434,0,13,1,7,1,13.9583057096
282,11209,10033,0,13,6,7,5,16.3317374834
283,11209,11225,0,13,2,7,2,4.77185011044
284,11209,10455,0,13,1,7,1,14.7286569119
285,11209,11251,0,13,1,7,1,4.68876076252
286,11209,10111,0,13,2,7,2,9.76764629614
287,11209,10307,1,13,2,7,2,13.7915204122
288,11209,11355,0,13,1,7,1,14.0569458202
289,11209,11103,0,13,6,7,5,11.4766043618
290,11209,11208,0,13,11,7,2,8.92856045053
291,11209,10457,0,13,2,7,1,16.8815176309
292,11209,10035,0,13,2,7,2,13.3465152039
293,11209,11357,0,13,1,7,1,16.0469232704
294,11209,10466,0,13,2,7,1,20.8048661602
295,11209,10037,0,13,6,7,2,14.0037906418
296,11209,10169,1,13,1,7,1,9.47775092915
297,11209,11363,0,13,1,7,1,18.088879026
298,11209,11412,0,13,1,7,1,15.0775563791
299,11209,11236,0,13,4,7,1,6.72365929085
300,11209,11691,0,13,1,7,1,14.2819761806
301,11209,10044,0,13,3,7,3,10.4721439434
302,11209,11419,0,13,1,7,1,11.7937487082
303,11209,10069,0,13,1,7,1,10.7004409804
304,11209,10103,0,13,1,7,1,9.87759191923
305,11209,10153,0,13,2,7,2,10.1418408235
306,11209,10040,0,13,1,7,1,17.0880041833
307,11209,10454,0,13,1,7,1,13.9378203056
308,11209,10465,0,13,1,7,1,17.8604809933
309,11209,11229,0,13,1,7,1,4.93105555962
310,11209,11102,0,13,3,7,3,11.6039776516
311,11209,11360,0,13,1,7,1,17.0039564875
312,11209,11228,0,13,2,7,2,1.01632918182
313,11209,10309,0,13,1,7,1,11.614157728
314,11209,11694,0,13,1,7,1,10.11615987
315,11209,11693,0,13,1,7,1,11.1767723989
316,11209,10039,0,13,1,7,1,14.8177686551
317,11209,10468,0,13,1,7,1,18.1626723778
318,11209,11231,0,13,2,7,2,4.08522300493
319,11209,10166,0,13,1,7,1,9.48342444123
320,11209,11423,0,13,2,7,2,15.0943523533
321,11209,10475,0,13,1,7,1,20.6135431001
322,11209,10470,0,13,1,7,1,21.0879385489
323,11209,10128,0,13,1,7,1,11.7072694435
324,11209,10471,0,13,1,7,1,20.2610415499
325,11209,10463,0,13,1,7,1,18.907009456
326,11232,10314,0,24,26,4,18,8.14590722995
327,11232,11209,0,24,13,4,7,2.58898966126
328,11232,11232,4,24,24,4,4,0.0
329,11232,11214,0,24,5,4,5,3.92103722611
330,11232,10301,0,24,4,4,4,5.00918500312
331,11232,11224,0,24,8,4,7,5.48329613512
332,11232,11361,0,24,6,4,5,14.1943861146
333,11232,11373,0,24,12,4,10,8.65192815215
334,11232,11432,0,24,12,4,8,11.799335829
335,11232,11430,0,24,27,4,25,10.9661966299
336,11232,10305,0,24,3,4,3,5.38773922905
337,11232,11418,0,24,6,4,2,9.44019400525
338,11232,11354,0,24,10,4,6,12.2007412479
339,11232,11233,0,24,8,4,7,4.73802024744
340,11232,11366,0,24,1,4,1,12.021782746
341,11232,11414,0,24,7,4,3,8.46408772715
342,11232,11433,0,24,2,4,2,11.741592127
343,11232,11377,0,24,4,4,3,8.01246823945
344,11232,11367,0,24,1,4,1,10.8459185369
345,11232,11237,0,24,16,4,11,5.52521129559
346,11232,11371,0,24,8,4,8,10.5216130284
347,11232,11368,0,24,6,4,6,9.9319498701
348,11232,11369,0,24,4,4,4,10.2078604783
349,11232,11356,0,24,1,4,1,12.3090881474
350,11232,11207,0,24,7,4,5,5.87666673166
351,11232,10306,0,24,4,4,4,8.42463367576
352,11232,10304,0,24,1,4,1,5.57449974158
353,11232,11372,0,24,14,4,5,9.07296430223
354,11232,11364,0,24,2,4,2,14.2907412852
355,11232,11374,0,24,4,4,3,8.92497694678
356,11232,11375,0,24,8,4,6,9.45456294806
357,11232,11212,0,24,5,4,3,4.80212150746
358,11232,11365,0,24,1,4,1,12.5432903749
359,11232,10016,0,24,21,4,16,6.41299509884
360,11232,10023,0,24,26,4,21,8.39834413062
