,zip1,zip2,weight,tweet1,tweet2,people1,people2,distance
0,10001,10001,546,963,963,546,546,0.0
1,10001,10012,21,963,482,546,378,1.71265815031
2,10001,10002,10,963,295,546,211,2.37871259122
3,10001,10029,3,963,46,546,40,3.87807692338
4,10001,10022,19,963,247,546,181,1.63557512051
5,10001,10458,2,963,31,546,26,9.65166782972
6,10001,11226,13,963,206,546,116,7.59055393896
7,10001,10007,48,963,1903,546,1115,2.54575146008
8,10001,10462,7,963,107,546,61,9.59713918295
9,10001,10003,24,963,562,546,416,1.31334501363
10,10001,11211,12,963,347,546,255,3.46900871996
11,10001,10011,16,963,442,546,352,0.697328699589
12,10001,11234,4,963,46,546,22,9.93373746016
13,10001,10010,19,963,250,546,200,1.10972175571
14,10001,11231,4,963,76,546,45,4.9741805846
15,10001,10014,15,963,410,546,327,1.19807358431
16,10001,10036,33,963,797,546,617,0.690506956819
17,10001,11221,1,963,72,546,56,5.5161339417
18,10001,10024,5,963,105,546,76,2.66266385402
19,10001,10026,1,963,41,546,31,4.21213723447
20,10001,11102,4,963,37,546,30,4.03046678225
21,10001,10040,4,963,81,546,24,8.25900055533
22,10001,11201,22,963,293,546,196,3.84658409997
23,10001,11103,2,963,33,546,26,4.57107545043
24,10001,10128,6,963,49,546,42,3.2373265523
25,10001,10013,14,963,725,546,430,2.12530338779
26,10001,11206,2,963,85,546,63,4.36837520029
27,10001,10454,2,963,34,546,21,5.6781312738
28,10001,10027,2,963,131,546,78,4.79632837627
29,10001,10469,0,963,35,546,9,11.28546374
30,10001,10025,7,963,162,546,83,3.61710136828
31,10001,10016,14,963,195,546,140,1.04258076998
32,10001,10018,20,963,321,546,245,0.343461543883
33,10001,10034,2,963,74,546,42,9.01001153626
34,10001,11372,3,963,33,546,20,5.88793540238
35,10001,10048,5,963,108,546,92,2.79238666105
36,10001,10009,5,963,128,546,84,1.88269602027
37,10001,11371,2,963,65,546,63,6.53940741987
38,10001,10023,9,963,247,546,157,1.89119170597
39,10001,10019,20,963,581,546,396,1.18161404546
40,10001,11222,0,963,138,546,82,3.16103569925
41,10001,11232,2,963,129,546,17,6.58566979039
42,10001,10306,1,963,14,546,11,14.0436150427
43,10001,11215,6,963,125,546,93,5.77193352912
44,10001,11430,5,963,180,546,155,12.6130537884
45,10001,10038,6,963,180,546,92,2.85812746233
46,10001,11213,1,963,32,546,18,6.3954151053
47,10001,10468,3,963,61,546,26,9.51504849937
48,10001,10021,6,963,78,546,66,2.25204429993
49,10001,10028,10,963,101,546,69,2.86058135447
50,10001,10017,24,963,280,546,187,1.27470185056
51,10001,11101,6,963,130,546,99,3.03831523982
52,10001,11429,2,963,15,546,6,13.8225939761
53,10001,10069,2,963,18,546,12,1.73585909851
54,10001,10281,2,963,38,546,30,2.67213811354
55,10001,11209,4,963,40,546,28,8.96467541767
56,10001,11218,2,963,36,546,24,7.40661230807
57,10001,10005,5,963,74,546,45,3.15015596355
58,10001,11377,1,963,72,546,33,4.89814626283
59,10001,10031,1,963,48,546,35,5.77760915398
60,10001,10004,5,963,166,546,80,4.25795084297
61,10001,11237,3,963,68,546,56,5.18272386592
62,10001,10310,1,963,17,546,9,10.2979559232
63,10001,11379,0,963,12,546,8,6.60555287734
64,10001,11104,0,963,10,546,10,4.07124394848
65,10001,11238,3,963,96,546,66,5.18741086382
66,10001,10451,3,963,41,546,31,6.14963729362
67,10001,10030,1,963,38,546,21,5.41931234954
68,10001,11205,4,963,36,546,33,4.23132610163
69,10001,10452,2,963,57,546,30,7.21192832484
70,10001,11224,2,963,44,546,24,12.0195041126
71,10001,11432,3,963,50,546,38,10.9654493245
72,10001,10453,4,963,31,546,19,8.3298565761
73,10001,11207,1,963,38,546,20,7.69538145748
74,10001,10475,3,963,30,546,14,12.5786876246
75,10001,11355,3,963,27,546,16,9.29499036665
76,10001,11357,0,963,14,546,8,10.0982942689
77,10001,11414,0,963,8,546,7,10.2765366581
78,10001,11214,2,963,23,546,11,10.470908012
79,10001,10020,11,963,236,546,179,1.01473428349
80,10001,11203,1,963,122,546,16,7.76826912128
81,10001,11217,9,963,111,546,84,4.83781736476
82,10001,10032,1,963,42,546,24,6.84364016806
83,10001,10461,3,963,54,546,26,10.4593643489
84,10001,11418,0,963,6,546,6,9.27979095998
85,10001,10309,3,963,21,546,12,19.0272672547
86,10001,10033,4,963,75,546,45,7.49487018922
87,10001,11235,2,963,29,546,19,11.77357832
88,10001,11385,2,963,42,546,26,6.35949793773
89,10001,11413,0,963,12,546,8,14.0209173079
90,10001,11106,3,963,37,546,26,3.50123198259
91,10001,11233,1,963,78,546,35,6.53341361256
92,10001,10044,0,963,9,546,9,2.60723173045
93,10001,10459,2,963,38,546,9,7.47601783692
94,10001,11236,2,963,17,546,14,9.03586022676
95,10001,11212,1,963,17,546,9,7.51296360602
96,10001,10305,1,963,67,546,17,11.2520168243
97,10001,11216,2,963,45,546,34,5.47617366745
98,10001,10455,2,963,37,546,18,6.4580697001
99,10001,11219,2,963,6,546,5,8.16246308515
100,10001,11105,2,963,32,546,26,4.92202700202
101,10001,10312,0,963,8,546,7,17.1608518782
102,10001,10166,0,963,1,546,1,1.09742796189
103,10001,10314,8,963,50,546,33,12.6579546936
104,10001,11373,3,963,45,546,31,6.30032705503
105,10001,11369,1,963,13,546,10,6.66498665518
106,10001,10282,1,963,19,546,15,2.49728957821
107,10001,10470,0,963,8,546,3,12.5558051847
108,10001,11361,0,963,15,546,11,11.7119827743
109,10001,11225,3,963,16,546,13,6.44057336508
110,10001,10472,2,963,51,546,20,8.67980426849
111,10001,11433,1,963,13,546,9,11.6012804977
112,10001,10286,0,963,1,546,1,2.64529386691
113,10001,11693,0,963,8,546,8,14.1005163386
114,10001,10006,5,963,44,546,39,3.08602652547
115,10001,11375,8,963,79,546,36,8.18039301654
116,10001,11368,4,963,49,546,27,7.25404532355
117,10001,10039,0,963,10,546,4,6.06731993511
