,zip1,zip2,#people_visit
282,10002,10069,26
283,10002,10080,2
285,10002,10096,5
286,10002,10103,3
287,10002,10104,1
289,10002,10106,1
290,10002,10107,1
291,10002,10110,2
292,10002,10111,58
293,10002,10112,1
295,10002,10118,61
296,10002,10119,18
297,10002,10120,6
298,10002,10121,13
299,10002,10122,1
301,10002,10128,119
302,10002,10151,1
303,10002,10152,8
304,10002,10153,31
306,10002,10158,2
307,10002,10165,1
308,10002,10166,14
309,10002,10167,4
311,10002,10169,13
312,10002,10170,5
314,10002,10172,2
316,10002,10174,19
317,10002,10175,2
318,10002,10176,1
319,10002,10177,1
321,10002,10196,1
323,10002,10259,1
324,10002,10260,8
325,10002,10265,6
326,10002,10270,1
327,10002,10271,2
328,10002,10275,7
329,10002,10278,4
330,10002,10279,8
331,10002,10280,51
332,10002,10281,197
333,10002,10282,54
334,10002,10285,29
335,10002,10286,2
336,10002,10301,48
337,10002,10302,13
338,10002,10303,6
339,10002,10304,15
340,10002,10305,23
341,10002,10306,16
342,10002,10307,6
343,10002,10308,10
344,10002,10309,13
345,10002,10310,16
346,10002,10312,11
347,10002,10314,34
348,10002,10451,43
349,10002,10452,51
350,10002,10453,24
351,10002,10454,30
352,10002,10455,34
353,10002,10456,34
354,10002,10457,23
355,10002,10458,48
356,10002,10459,15
357,10002,10460,35
358,10002,10461,30
359,10002,10462,40
360,10002,10463,42
361,10002,10464,20
362,10002,10465,22
363,10002,10466,13
364,10002,10467,24
365,10002,10468,25
366,10002,10469,11
367,10002,10470,10
368,10002,10471,26
369,10002,10472,22
370,10002,10473,12
371,10002,10474,13
372,10002,10475,23
374,10002,11004,3
375,10002,11005,2
376,10002,11040,1
377,10002,11101,260
378,10002,11102,84
379,10002,11103,85
380,10002,11104,28
381,10002,11105,75
382,10002,11106,94
383,10002,11109,10
384,10002,11201,580
385,10002,11203,29
386,10002,11204,22
387,10002,11205,125
388,10002,11206,356
389,10002,11207,65
390,10002,11208,24
391,10002,11209,59
392,10002,11210,21
393,10002,11211,1075
394,10002,11212,19
395,10002,11213,53
396,10002,11214,31
397,10002,11215,328
398,10002,11216,159
399,10002,11217,424
400,10002,11218,48
401,10002,11219,26
402,10002,11220,68
403,10002,11221,251
404,10002,11222,321
405,10002,11223,27
406,10002,11224,55
407,10002,11225,59
408,10002,11226,283
409,10002,11228,36
410,10002,11229,32
411,10002,11230,26
412,10002,11231,185
413,10002,11232,99
414,10002,11233,94
415,10002,11234,32
416,10002,11235,43
417,10002,11236,23
418,10002,11237,249
419,10002,11238,267
420,10002,11239,12
421,10002,11251,18
422,10002,11354,92
423,10002,11355,56
424,10002,11356,20
425,10002,11357,15
426,10002,11358,17
427,10002,11359,2
428,10002,11360,12
429,10002,11361,29
430,10002,11362,17
431,10002,11363,5
432,10002,11364,7
433,10002,11365,21
434,10002,11366,14
435,10002,11367,25
436,10002,11368,82
437,10002,11369,13
438,10002,11370,15
439,10002,11371,230
440,10002,11372,45
441,10002,11373,81
442,10002,11374,19
443,10002,11375,86
444,10002,11377,73
445,10002,11378,31
446,10002,11379,22
447,10002,11385,88
448,10002,11411,6
449,10002,11412,8
450,10002,11413,16
451,10002,11414,17
452,10002,11415,19
453,10002,11416,8
454,10002,11417,10
455,10002,11418,13
456,10002,11419,11
457,10002,11420,27
458,10002,11421,13
459,10002,11422,11
