,zip1,zip2,#people_visit
333,10002,10460,5
334,10002,10461,9
335,10002,10462,9
336,10002,10463,8
337,10002,10464,5
338,10002,10465,3
339,10002,10466,7
340,10002,10467,3
341,10002,10468,2
343,10002,10470,5
344,10002,10471,6
345,10002,10472,6
346,10002,10473,2
347,10002,10474,2
348,10002,10475,7
353,10002,11101,17
354,10002,11102,13
355,10002,11103,14
356,10002,11104,2
357,10002,11105,8
358,10002,11106,8
360,10002,11201,45
362,10002,11204,1
363,10002,11205,15
364,10002,11206,24
365,10002,11207,5
366,10002,11208,2
367,10002,11209,10
368,10002,11210,6
369,10002,11211,110
370,10002,11212,3
371,10002,11213,8
372,10002,11214,9
373,10002,11215,40
374,10002,11216,13
375,10002,11217,42
376,10002,11218,6
377,10002,11219,5
378,10002,11220,12
379,10002,11221,23
380,10002,11222,23
381,10002,11223,1
382,10002,11224,3
383,10002,11225,4
384,10002,11226,19
385,10002,11228,5
386,10002,11229,10
387,10002,11230,3
388,10002,11231,20
389,10002,11232,11
390,10002,11233,5
391,10002,11234,6
392,10002,11235,6
393,10002,11236,5
394,10002,11237,18
395,10002,11238,32
396,10002,11239,5
397,10002,11251,1
398,10002,11354,9
399,10002,11355,6
400,10002,11356,2
401,10002,11357,2
402,10002,11358,2
404,10002,11360,4
405,10002,11361,4
406,10002,11362,6
407,10002,11363,3
408,10002,11364,2
409,10002,11365,5
410,10002,11366,3
411,10002,11367,4
412,10002,11368,10
413,10002,11369,3
414,10002,11370,1
415,10002,11371,10
416,10002,11372,8
417,10002,11373,11
418,10002,11374,4
419,10002,11375,16
420,10002,11377,7
421,10002,11378,5
422,10002,11379,3
423,10002,11385,9
425,10002,11412,1
426,10002,11413,3
427,10002,11414,6
428,10002,11415,2
430,10002,11417,3
431,10002,11418,1
432,10002,11419,4
433,10002,11420,6
434,10002,11421,1
435,10002,11422,2
436,10002,11423,1
437,10002,11426,4
438,10002,11427,1
440,10002,11429,1
441,10002,11430,25
442,10002,11432,8
443,10002,11433,7
444,10002,11434,3
445,10002,11435,8
446,10002,11436,3
447,10002,11691,2
449,10002,11693,1
450,10002,11694,1
451,10002,11697,1
452,10003,10003,453
453,10003,10004,25
454,10003,10005,20
455,10003,10006,13
456,10003,10007,207
457,10003,10009,109
458,10003,10010,104
459,10003,10011,163
460,10003,10012,173
461,10003,10013,109
462,10003,10014,143
463,10003,10016,67
464,10003,10017,66
465,10003,10018,72
466,10003,10019,149
467,10003,10020,61
468,10003,10021,24
469,10003,10022,68
470,10003,10023,59
471,10003,10024,37
472,10003,10025,25
473,10003,10026,15
474,10003,10027,25
475,10003,10028,31
476,10003,10029,19
477,10003,10030,7
478,10003,10031,12
479,10003,10032,12
480,10003,10033,8
481,10003,10034,5
482,10003,10035,11
483,10003,10036,151
484,10003,10037,2
485,10003,10038,30
486,10003,10039,5
487,10003,10040,13
489,10003,10044,3
490,10003,10048,11
491,10003,10069,2
495,10003,10104,1
498,10003,10107,1
500,10003,10111,6
503,10003,10118,7
504,10003,10119,3
505,10003,10120,2
506,10003,10121,2
507,10003,10122,1
509,10003,10128,16
512,10003,10153,2
513,10003,10154,1
515,10003,10166,1
516,10003,10167,5
517,10003,10169,1
521,10003,10174,1
527,10003,10265,1
528,10003,10270,1
529,10003,10275,1
530,10003,10278,1
531,10003,10279,1
532,10003,10280,5
533,10003,10281,16
534,10003,10282,7
536,10003,10301,9
537,10003,10302,2
538,10003,10303,4
539,10003,10304,1
540,10003,10305,6
541,10003,10306,6
542,10003,10307,3
543,10003,10308,2
544,10003,10309,2
545,10003,10310,6
546,10003,10312,1
547,10003,10314,15
548,10003,10451,8
549,10003,10452,3
550,10003,10453,4
551,10003,10454,5
552,10003,10455,5
553,10003,10456,3
554,10003,10457,3
555,10003,10458,9
556,10003,10459,5
557,10003,10460,10
558,10003,10461,7
559,10003,10462,19
560,10003,10463,11
562,10003,10465,5
563,10003,10466,4
564,10003,10467,2
565,10003,10468,2
567,10003,10470,3
568,10003,10471,6
569,10003,10472,8
570,10003,10473,3
571,10003,10474,1
572,10003,10475,8
577,10003,11101,41
578,10003,11102,20
579,10003,11103,17
580,10003,11104,6
581,10003,11105,16
582,10003,11106,19
583,10003,11109,2
584,10003,11201,75
585,10003,11203,2
586,10003,11204,3
587,10003,11205,10
588,10003,11206,28
589,10003,11207,9
590,10003,11208,3
591,10003,11209,11
592,10003,11210,9
593,10003,11211,133
594,10003,11212,2
595,10003,11213,6
596,10003,11214,9
597,10003,11215,52
598,10003,11216,14
599,10003,11217,48
600,10003,11218,10
601,10003,11219,4
602,10003,11220,9
603,10003,11221,15
604,10003,11222,37
605,10003,11223,4
606,10003,11224,7
607,10003,11225,6
608,10003,11226,37
609,10003,11228,5
610,10003,11229,10
611,10003,11230,6
612,10003,11231,22
613,10003,11232,12
614,10003,11233,6
615,10003,11234,12
616,10003,11235,6
617,10003,11236,8
618,10003,11237,21
619,10003,11238,36
620,10003,11239,3
621,10003,11251,1
622,10003,11354,13
623,10003,11355,6
624,10003,11356,2
625,10003,11357,2
626,10003,11358,3
628,10003,11360,3
629,10003,11361,8
630,10003,11362,5
631,10003,11363,2
632,10003,11364,2
633,10003,11365,8
634,10003,11366,7
635,10003,11367,7
636,10003,11368,14
637,10003,11369,3
638,10003,11370,3
639,10003,11371,19
640,10003,11372,9
641,10003,11373,16
642,10003,11374,6
643,10003,11375,16
644,10003,11377,8
645,10003,11378,5
646,10003,11379,5
647,10003,11385,12
650,10003,11413,2
651,10003,11414,6
652,10003,11415,4
653,10003,11416,2
654,10003,11417,2
656,10003,11419,3
657,10003,11420,6
658,10003,11421,1
659,10003,11422,1
661,10003,11426,2
662,10003,11427,1
664,10003,11429,1
665,10003,11430,27
666,10003,11432,7
667,10003,11433,8
668,10003,11434,3
669,10003,11435,7
670,10003,11436,2
671,10003,11691,2
672,10003,11692,2
673,10003,11693,1
674,10003,11694,1
675,10003,11697,1
676,10004,10004,83
677,10004,10005,17
678,10004,10006,13
679,10004,10007,73
680,10004,10009,13
681,10004,10010,18
682,10004,10011,31
683,10004,10012,24
684,10004,10013,22
685,10004,10014,29
686,10004,10016,19
687,10004,10017,19
688,10004,10018,27
689,10004,10019,46
690,10004,10020,30
691,10004,10021,12
692,10004,10022,19
693,10004,10023,16
694,10004,10024,13
695,10004,10025,9
696,10004,10026,8
697,10004,10027,10
698,10004,10028,12
699,10004,10029,8
701,10004,10031,7
702,10004,10032,6
703,10004,10033,4
704,10004,10034,4
705,10004,10035,6
706,10004,10036,59
707,10004,10037,5
708,10004,10038,17
709,10004,10039,3
710,10004,10040,4
711,10004,10041,8
712,10004,10044,2
713,10004,10048,38
714,10004,10069,1
718,10004,10104,1
721,10004,10107,1
723,10004,10111,2
726,10004,10118,6
727,10004,10119,1
728,10004,10120,2
732,10004,10128,11
735,10004,10153,1
737,10004,10165,1
739,10004,10167,3
751,10004,10270,1
752,10004,10275,2
754,10004,10279,2
755,10004,10280,10
756,10004,10281,7
757,10004,10282,4
759,10004,10301,4
760,10004,10302,1
761,10004,10303,3
762,10004,10304,1
763,10004,10305,7
764,10004,10306,5
765,10004,10307,2
766,10004,10308,1
767,10004,10309,2
768,10004,10310,5
769,10004,10312,2
770,10004,10314,8
771,10004,10451,6
772,10004,10452,3
773,10004,10453,3
774,10004,10454,4
775,10004,10455,2
777,10004,10457,3
778,10004,10458,3
779,10004,10459,2
780,10004,10460,6
781,10004,10461,5
782,10004,10462,8
783,10004,10463,5
785,10004,10465,4
786,10004,10466,4
787,10004,10467,2
788,10004,10468,1
790,10004,10470,5
791,10004,10471,5
792,10004,10472,6
793,10004,10473,2
794,10004,10474,2
795,10004,10475,4
800,10004,11101,10
801,10004,11102,10
802,10004,11103,8
803,10004,11104,1
804,10004,11105,7
805,10004,11106,8
807,10004,11201,29
809,10004,11204,1
810,10004,11205,2
811,10004,11206,6
812,10004,11207,2
814,10004,11209,5
