,zip1,zip2,#people_visit
286,10002,10103,1
287,10002,10104,1
289,10002,10106,1
290,10002,10107,1
291,10002,10110,2
292,10002,10111,32
293,10002,10112,1
295,10002,10118,36
296,10002,10119,11
297,10002,10120,6
298,10002,10121,8
299,10002,10122,1
301,10002,10128,65
303,10002,10152,6
304,10002,10153,20
306,10002,10158,2
308,10002,10166,10
309,10002,10167,2
311,10002,10169,9
312,10002,10170,1
314,10002,10172,2
316,10002,10174,11
317,10002,10175,2
318,10002,10176,1
319,10002,10177,1
321,10002,10196,1
323,10002,10259,1
324,10002,10260,2
325,10002,10265,1
326,10002,10270,1
327,10002,10271,1
328,10002,10275,7
329,10002,10278,2
330,10002,10279,4
331,10002,10280,31
332,10002,10281,120
333,10002,10282,31
334,10002,10285,17
335,10002,10286,2
336,10002,10301,29
337,10002,10302,10
338,10002,10303,4
339,10002,10304,10
340,10002,10305,19
341,10002,10306,11
342,10002,10307,4
343,10002,10308,6
344,10002,10309,9
345,10002,10310,11
346,10002,10312,6
347,10002,10314,20
348,10002,10451,27
349,10002,10452,32
350,10002,10453,14
351,10002,10454,18
352,10002,10455,15
353,10002,10456,19
354,10002,10457,13
355,10002,10458,22
356,10002,10459,9
357,10002,10460,20
358,10002,10461,15
359,10002,10462,27
360,10002,10463,23
361,10002,10464,10
362,10002,10465,15
363,10002,10466,7
364,10002,10467,19
365,10002,10468,19
366,10002,10469,5
367,10002,10470,7
368,10002,10471,15
369,10002,10472,13
370,10002,10473,6
371,10002,10474,10
372,10002,10475,18
374,10002,11004,3
376,10002,11040,1
377,10002,11101,162
378,10002,11102,56
379,10002,11103,41
380,10002,11104,18
381,10002,11105,35
382,10002,11106,50
383,10002,11109,3
384,10002,11201,334
385,10002,11203,22
386,10002,11204,13
387,10002,11205,66
388,10002,11206,225
389,10002,11207,45
390,10002,11208,19
391,10002,11209,38
392,10002,11210,16
393,10002,11211,646
394,10002,11212,11
395,10002,11213,30
396,10002,11214,17
397,10002,11215,171
398,10002,11216,90
399,10002,11217,235
400,10002,11218,30
401,10002,11219,16
402,10002,11220,38
403,10002,11221,160
404,10002,11222,186
405,10002,11223,15
406,10002,11224,41
407,10002,11225,32
408,10002,11226,171
409,10002,11228,22
410,10002,11229,16
411,10002,11230,13
412,10002,11231,90
413,10002,11232,53
414,10002,11233,60
415,10002,11234,21
416,10002,11235,28
417,10002,11236,17
418,10002,11237,161
419,10002,11238,134
420,10002,11239,9
421,10002,11251,12
422,10002,11354,41
423,10002,11355,27
424,10002,11356,9
425,10002,11357,11
426,10002,11358,10
427,10002,11359,1
428,10002,11360,6
429,10002,11361,15
430,10002,11362,12
431,10002,11363,2
432,10002,11364,6
433,10002,11365,12
434,10002,11366,6
435,10002,11367,15
436,10002,11368,36
