,zip1,zip2,#people_visit
338,10002,10471,5
339,10002,10472,4
340,10002,10473,3
341,10002,10474,1
342,10002,10475,4
347,10002,11101,9
348,10002,11102,6
349,10002,11103,8
350,10002,11104,3
351,10002,11105,8
352,10002,11106,7
354,10002,11201,38
355,10002,11203,1
356,10002,11204,5
357,10002,11205,4
358,10002,11206,23
359,10002,11207,5
360,10002,11208,4
361,10002,11209,6
362,10002,11210,2
363,10002,11211,98
364,10002,11212,3
365,10002,11213,2
366,10002,11214,7
367,10002,11215,27
368,10002,11216,17
369,10002,11217,32
370,10002,11218,4
371,10002,11219,2
372,10002,11220,5
373,10002,11221,11
374,10002,11222,23
375,10002,11223,6
376,10002,11224,5
377,10002,11225,6
378,10002,11226,13
379,10002,11228,1
380,10002,11229,2
381,10002,11230,5
382,10002,11231,16
383,10002,11232,11
384,10002,11233,7
385,10002,11234,5
386,10002,11235,6
387,10002,11236,5
388,10002,11237,13
389,10002,11238,20
390,10002,11239,3
392,10002,11354,16
393,10002,11355,5
394,10002,11356,4
396,10002,11358,2
398,10002,11360,1
399,10002,11361,5
400,10002,11362,3
402,10002,11364,3
403,10002,11365,7
404,10002,11366,7
405,10002,11367,8
406,10002,11368,8
407,10002,11369,2
408,10002,11370,5
409,10002,11371,12
410,10002,11372,7
411,10002,11373,8
412,10002,11374,4
413,10002,11375,19
414,10002,11377,6
415,10002,11378,5
416,10002,11379,1
417,10002,11385,10
418,10002,11411,1
420,10002,11413,1
421,10002,11414,4
422,10002,11415,4
423,10002,11416,1
425,10002,11418,2
427,10002,11420,3
430,10002,11423,1
431,10002,11426,1
432,10002,11427,2
433,10002,11428,1
434,10002,11429,2
435,10002,11430,13
436,10002,11432,7
437,10002,11433,2
438,10002,11434,1
439,10002,11435,7
440,10002,11436,3
441,10002,11691,1
443,10002,11693,2
446,10003,10003,442
447,10003,10004,23
448,10003,10005,9
449,10003,10006,12
450,10003,10007,202
451,10003,10009,100
452,10003,10010,109
453,10003,10011,177
454,10003,10012,179
455,10003,10013,103
456,10003,10014,138
457,10003,10016,69
458,10003,10017,74
459,10003,10018,76
460,10003,10019,153
461,10003,10020,50
462,10003,10021,37
463,10003,10022,71
464,10003,10023,48
465,10003,10024,30
466,10003,10025,36
467,10003,10026,10
468,10003,10027,20
469,10003,10028,27
470,10003,10029,21
471,10003,10030,3
472,10003,10031,13
473,10003,10032,8
474,10003,10033,10
475,10003,10034,8
476,10003,10035,13
477,10003,10036,126
478,10003,10037,3
479,10003,10038,26
480,10003,10039,4
481,10003,10040,7
483,10003,10044,7
485,10003,10048,29
492,10003,10106,1
494,10003,10111,9
495,10003,10118,8
496,10003,10119,2
497,10003,10120,2
498,10003,10121,1
500,10003,10128,18
503,10003,10153,1
504,10003,10154,1
505,10003,10165,1
506,10003,10166,1
507,10003,10167,5
511,10003,10174,2
518,10003,10270,1
521,10003,10279,1
522,10003,10280,6
523,10003,10281,25
524,10003,10282,2
525,10003,10285,1
526,10003,10286,1
527,10003,10301,9
528,10003,10302,2
529,10003,10303,2
530,10003,10304,2
531,10003,10305,4
532,10003,10306,5
533,10003,10307,1
535,10003,10309,5
536,10003,10310,1
537,10003,10312,2
538,10003,10314,13
539,10003,10451,5
540,10003,10452,7
541,10003,10453,1
542,10003,10454,5
543,10003,10455,2
544,10003,10456,4
545,10003,10457,4
546,10003,10458,5
547,10003,10459,4
548,10003,10460,8
549,10003,10461,8
550,10003,10462,17
551,10003,10463,14
553,10003,10465,2
554,10003,10466,4
555,10003,10467,5
556,10003,10468,7
557,10003,10469,1
558,10003,10470,4
559,10003,10471,2
560,10003,10472,6
561,10003,10473,3
562,10003,10474,1
563,10003,10475,7
568,10003,11101,34
569,10003,11102,11
570,10003,11103,17
571,10003,11104,4
572,10003,11105,16
573,10003,11106,17
574,10003,11109,1
575,10003,11201,60
576,10003,11203,4
577,10003,11204,8
578,10003,11205,14
579,10003,11206,27
580,10003,11207,5
581,10003,11208,4
582,10003,11209,10
583,10003,11210,7
584,10003,11211,112
585,10003,11212,5
586,10003,11213,5
587,10003,11214,12
588,10003,11215,39
589,10003,11216,17
590,10003,11217,41
591,10003,11218,8
592,10003,11219,5
593,10003,11220,8
594,10003,11221,13
595,10003,11222,32
596,10003,11223,4
597,10003,11224,12
598,10003,11225,10
599,10003,11226,33
600,10003,11228,2
601,10003,11229,6
602,10003,11230,5
603,10003,11231,21
604,10003,11232,13
605,10003,11233,8
606,10003,11234,8
607,10003,11235,6
608,10003,11236,6
609,10003,11237,20
610,10003,11238,18
611,10003,11239,4
612,10003,11251,1
613,10003,11354,14
614,10003,11355,10
615,10003,11356,4
617,10003,11358,1
620,10003,11361,9
621,10003,11362,3
622,10003,11363,2
623,10003,11364,2
624,10003,11365,9
625,10003,11366,12
626,10003,11367,8
627,10003,11368,9
628,10003,11369,4
629,10003,11370,7
630,10003,11371,17
631,10003,11372,6
632,10003,11373,18
633,10003,11374,8
634,10003,11375,20
635,10003,11377,17
636,10003,11378,5
638,10003,11385,12
642,10003,11414,4
643,10003,11415,3
644,10003,11416,2
646,10003,11418,2
647,10003,11419,1
648,10003,11420,1
653,10003,11427,1
655,10003,11429,2
656,10003,11430,32
657,10003,11432,13
658,10003,11433,4
659,10003,11434,1
660,10003,11435,6
661,10003,11436,2
662,10003,11691,3
664,10003,11693,2
665,10003,11694,1
666,10003,11697,1
667,10004,10004,81
668,10004,10005,23
669,10004,10006,17
670,10004,10007,59
671,10004,10009,9
672,10004,10010,17
673,10004,10011,27
674,10004,10012,22
675,10004,10013,28
676,10004,10014,25
677,10004,10016,12
678,10004,10017,23
679,10004,10018,18
680,10004,10019,30
681,10004,10020,18
682,10004,10021,8
683,10004,10022,25
684,10004,10023,11
685,10004,10024,10
686,10004,10025,9
687,10004,10026,4
688,10004,10027,4
689,10004,10028,4
690,10004,10029,5
691,10004,10030,3
692,10004,10031,5
693,10004,10032,7
694,10004,10033,5
695,10004,10034,4
696,10004,10035,5
697,10004,10036,45
698,10004,10037,3
699,10004,10038,26
700,10004,10039,3
701,10004,10040,4
702,10004,10041,2
703,10004,10044,5
704,10004,10045,1
705,10004,10048,32
714,10004,10111,1
715,10004,10118,4
716,10004,10119,1
717,10004,10120,3
720,10004,10128,4
727,10004,10167,2
728,10004,10169,2
731,10004,10174,1
736,10004,10260,1
738,10004,10270,1
739,10004,10275,4
742,10004,10280,9
743,10004,10281,11
744,10004,10282,4
745,10004,10285,1
747,10004,10301,14
748,10004,10302,1
749,10004,10303,2
750,10004,10304,4
751,10004,10305,4
752,10004,10306,3
755,10004,10309,4
756,10004,10310,4
757,10004,10312,1
758,10004,10314,11
759,10004,10451,3
760,10004,10452,4
761,10004,10453,2
762,10004,10454,3
763,10004,10455,3
765,10004,10457,3
766,10004,10458,2
767,10004,10459,2
768,10004,10460,3
769,10004,10461,5
770,10004,10462,8
771,10004,10463,4
772,10004,10464,1
773,10004,10465,3
774,10004,10466,3
775,10004,10467,1
776,10004,10468,2
778,10004,10470,2
779,10004,10471,3
780,10004,10472,4
781,10004,10473,5
782,10004,10474,1
783,10004,10475,4
788,10004,11101,10
789,10004,11102,5
790,10004,11103,5
791,10004,11104,1
792,10004,11105,2
793,10004,11106,4
795,10004,11201,23
797,10004,11204,2
798,10004,11205,2
799,10004,11206,4
801,10004,11208,1
802,10004,11209,4
803,10004,11210,1
804,10004,11211,9
805,10004,11212,2
807,10004,11214,3
808,10004,11215,11
809,10004,11216,2
810,10004,11217,4
811,10004,11218,2
812,10004,11219,4
813,10004,11220,5
814,10004,11221,2
815,10004,11222,6
816,10004,11223,1
817,10004,11224,4
818,10004,11225,2
819,10004,11226,6
820,10004,11228,2
822,10004,11230,2
823,10004,11231,5
824,10004,11232,6
825,10004,11233,2
826,10004,11234,2
827,10004,11235,4
828,10004,11236,3
829,10004,11237,3
830,10004,11238,5
831,10004,11239,3
833,10004,11354,3
834,10004,11355,4
835,10004,11356,4
839,10004,11360,1
840,10004,11361,2
841,10004,11362,3
843,10004,11364,3
844,10004,11365,4
845,10004,11366,4
846,10004,11367,3
847,10004,11368,4
848,10004,11369,2
849,10004,11370,4
850,10004,11371,3
851,10004,11372,3
852,10004,11373,4
853,10004,11374,5
854,10004,11375,6
855,10004,11377,4
856,10004,11378,4
858,10004,11385,4
859,10004,11411,1
861,10004,11413,1
862,10004,11414,4
863,10004,11415,4
864,10004,11416,1
868,10004,11420,1
871,10004,11423,1
872,10004,11426,1
873,10004,11427,1
875,10004,11429,2
876,10004,11430,7
877,10004,11432,4
878,10004,11433,2
880,10004,11435,4
881,10004,11436,3
882,10004,11691,1
884,10004,11693,2
887,10005,10005,28
888,10005,10006,10
889,10005,10007,27
890,10005,10009,4
891,10005,10010,10
892,10005,10011,15
893,10005,10012,9
894,10005,10013,18
895,10005,10014,9
896,10005,10016,7
897,10005,10017,6
898,10005,10018,14
899,10005,10019,10
900,10005,10020,14
901,10005,10021,4
902,10005,10022,11
903,10005,10023,6
904,10005,10024,5
905,10005,10025,6
906,10005,10026,2
907,10005,10027,5
908,10005,10028,3
909,10005,10029,4
910,10005,10030,2
911,10005,10031,3
912,10005,10032,4
913,10005,10033,4
914,10005,10034,5
915,10005,10035,5
916,10005,10036,19
917,10005,10037,3
918,10005,10038,16
919,10005,10039,3
920,10005,10040,4
921,10005,10041,1
922,10005,10044,3
923,10005,10045,1
924,10005,10048,12
926,10005,10081,1
934,10005,10118,2
935,10005,10119,1
936,10005,10120,2
939,10005,10128,3
954,10005,10259,1
955,10005,10260,5
956,10005,10265,3
957,10005,10270,2
961,10005,10280,1
962,10005,10281,4
963,10005,10282,4
965,10005,10286,4
966,10005,10301,4
968,10005,10303,2
969,10005,10304,2
970,10005,10305,2
971,10005,10306,3
974,10005,10309,2
975,10005,10310,1
977,10005,10314,5
978,10005,10451,2
979,10005,10452,2
980,10005,10453,1
981,10005,10454,2
982,10005,10455,1
984,10005,10457,2
986,10005,10459,3
987,10005,10460,3
988,10005,10461,3
989,10005,10462,5
990,10005,10463,3
992,10005,10465,3
993,10005,10466,3
995,10005,10468,4
997,10005,10470,2
998,10005,10471,2
999,10005,10472,2
1000,10005,10473,2
1002,10005,10475,2
1007,10005,11101,3
1008,10005,11102,3
1009,10005,11103,5
1011,10005,11105,2
1012,10005,11106,4
1013,10005,11109,1
1014,10005,11201,15
1015,10005,11203,1
1016,10005,11204,2
